%time,field.data
1574700867600452374,0.111348116857 0.0282977847425 -2.83289150871
1574700867610561448,0.111348116857 0.0282977847425 -2.83289150871
1574700867620666201,0.0944024429576 0.0439521289768 -2.85042309582
1574700867630774025,0.0944024429576 0.0439521289768 -2.85042309582
1574700867640881672,0.0872542865067 0.0498644690418 -2.85969635984
1574700867651036931,0.0756320611427 0.0578099054165 -2.87950845223
1574700867661156667,0.0711874924868 0.0599980917331 -2.88961157393
1574700867671292441,0.0675908588493 0.0612101954099 -2.89997753719
1574700867681362892,0.0647462932505 0.061648757834 -2.91040112124
1574700867691429366,0.062562343531 0.0615236668165 -2.92079131861
1574700867701519464,0.0598088333432 0.0612217117042 -2.93100824414
1574700867711593057,0.0574824809959 0.0607583903981 -2.94119258528
1574700867721620062,0.0555215200855 0.060292048304 -2.95128525978
1574700867731712203,0.0538557687119 0.0599428284637 -2.96115776676
1574700867741827390,0.0538557687119 0.0599428284637 -2.96115776676
1574700867751932090,0.0510809251015 0.0596007147645 -2.98082552587
1574700867762039325,0.0498685384746 0.0594513747725 -2.99034813268
1574700867772104957,0.0487419041494 0.0592214003425 -2.99981345982
1574700867782175290,0.0477741572859 0.0589032024578 -3.00907356121
1574700867792282239,0.0469640281826 0.0585159676848 -3.01814195526
1574700867803175320,0.0463737141031 0.0580840815126 -3.02696459674
1574700867813283001,0.0463737141031 0.0580840815126 -3.02696459674
1574700867823373752,0.0457848093071 0.0572059820538 -3.04431739062
1574700867833480267,0.0456451464143 0.0567736928832 -3.05262430347
1574700867843546328,0.0455255980409 0.0563302261983 -3.06089729476
1574700867853640430,0.0453185266789 0.0558528835728 -3.06896097655
1574700867863732172,0.0449791614096 0.0553309720429 -3.07668365647
1574700867873840604,0.0445205294051 0.0547898083717 -3.08431744926
1574700867883930027,0.0440756474744 0.0542256134786 -3.09179209947
1574700867894038909,0.0441962063711 0.0531455946067 -3.10595359479
1574700867904160460,0.0441962063711 0.0531455946067 -3.10595359479
1574700867914271657,0.0447523822841 0.0526300469481 -3.11274046375
1574700867924341405,0.0453424958764 0.0520588699973 -3.119341011
1574700867934412060,0.0458816949396 0.0514322489729 -3.12564263413
1574700867944545717,0.0462885639894 0.050735618967 -3.13185816838
1574700867954650733,0.0464082020473 0.0491072425661 3.13951071843
1574700867964763604,0.0464082020473 0.0491072425661 3.13951071843
1574700867974868742,0.0462994275173 0.0480959114326 3.13378033441
1574700867984933896,0.0460801974016 0.0468719593042 3.12822984412
1574700867995113918,0.0450319164808 0.0439096494287 3.11776287851
1574700868005250392,0.0450319164808 0.0439096494287 3.11776287851
1574700868015369669,0.0435088528386 0.0409084805494 3.1079401478
1574700868025479361,0.0435088528386 0.0409084805494 3.1079401478
1574700868035542706,0.0417509791398 0.0383633833894 3.09909580852
1574700868045654917,0.0417509791398 0.0383633833894 3.09909580852
1574700868055741213,0.039169977159 0.0363314958235 3.09166144238
1574700868065840251,0.039169977159 0.0363314958235 3.09166144238
1574700868075913264,0.0356495550983 0.0345061986851 3.08541102385
1574700868085989643,0.0356495550983 0.0345061986851 3.08541102385
1574700868096062784,0.0334434513779 0.0332560118971 3.08255564682
1574700868106129901,0.0304336037513 0.0315898414291 3.07985789754
1574700868116216981,0.0214011377629 0.0267004696001 3.07433946036
1574700868126326794,0.0214011377629 0.0267004696001 3.07433946036
1574700868136432308,0.00408829078819 0.0205504612622 3.07019148137
1574700868146542335,0.00408829078819 0.0205504612622 3.07019148137
1574700868156669100,-0.025643482248 0.0173031414217 3.06784418638
1574700868166734663,-0.025643482248 0.0173031414217 3.06784418638
1574700868176842037,-0.066018347246 0.0217022317658 3.06573173454
1574700868186913745,-0.066018347246 0.0217022317658 3.06573173454
1574700868197019441,-0.110578123423 0.0346441594233 3.06366835674
1574700868207127149,-0.110578123423 0.0346441594233 3.06366835674
1574700868217198224,-0.152856802227 0.0537802733833 3.06168676585
1574700868227265253,-0.152856802227 0.0537802733833 3.06168676585
1574700868237370722,-0.190145382492 0.0755459049609 3.05959850218
1574700868247458206,-0.190145382492 0.0755459049609 3.05959850218
1574700868257585665,-0.221360750173 0.0968650624944 3.0572781122
