%time,field.data
1574702906492469606,-0.600311189464 0.129050672207 3.04065773019
1574702906502577368,-0.600311189464 0.129050672207 3.04065773019
1574702906512661686,-0.615254112328 0.13460129465 3.03655149968
1574702906522728929,-0.615254112328 0.13460129465 3.03655149968
1574702906532857581,-0.620814005194 0.136686938836 3.03476535599
1574702906542964675,-0.625268593951 0.138636421883 3.03297237621
1574702906553076152,-0.628867604452 0.140558929208 3.03120183795
1574702906563146743,-0.631912476723 0.142502106627 3.02951109583
1574702906573210615,-0.634574290156 0.144477790805 3.02775247952
1574702906583283903,-0.636832583312 0.146478059651 3.02599926536
1574702906593323562,-0.638072882615 0.148184644136 3.02432239975
1574702906603410240,-0.637619878561 0.151041574734 3.02102632064
1574702906613524559,-0.637619878561 0.151041574734 3.02102632064
1574702906623632613,-0.636396742344 0.15260534435 3.01926969691
1574702906633737158,-0.634686113205 0.154316202509 3.01753312064
1574702906643842398,-0.632682363091 0.156137594229 3.01572798656
1574702906653979181,-0.630535605971 0.158050843954 3.01388964319
1574702906664048923,-0.628300517399 0.16003305969 3.01202134706
1574702906674171036,-0.625922155778 0.162041169923 3.00999882291
1574702906684276388,-0.623278578499 0.164103997243 3.00788371104
1574702906694383997,-0.620190363966 0.166270945051 3.00568452995
1574702906704488690,-0.616499159479 0.168566965243 3.0034575702
1574702906714613837,-0.612052968465 0.170927169653 3.00110053718
1574702906724719797,-0.60062708234 0.175552045972 2.99625900186
1574702906734785739,-0.60062708234 0.175552045972 2.99625900186
1574702906744923231,-0.5937118572 0.177751902111 2.99381872097
1574702906754995693,-0.586186026741 0.179810136143 2.99154347208
1574702906765101627,-0.578187371012 0.181624671353 2.98953101813
1574702906775202058,-0.561164415827 0.184513573712 2.98594928615
1574702906785309265,-0.561164415827 0.184513573712 2.98594928615
1574702906795395539,-0.544811552032 0.18786852026 2.98284886897
1574702906805499766,-0.544811552032 0.18786852026 2.98284886897
1574702906815620326,-0.528099709701 0.191597562229 2.97981344731
1574702906825728249,-0.528099709701 0.191597562229 2.97981344731
1574702906835850334,-0.510514470181 0.195413498614 2.97725868993
1574702906845977910,-0.510514470181 0.195413498614 2.97725868993
1574702906856085822,-0.492606747926 0.199182850982 2.97512629978
1574702906866194066,-0.492606747926 0.199182850982 2.97512629978
1574702906876205737,-0.474475427393 0.203243145934 2.9731853544
1574702906886313761,-0.474475427393 0.203243145934 2.9731853544
1574702906896422039,-0.455971437696 0.208273413826 2.97139537484
1574702906906528214,-0.455971437696 0.208273413826 2.97139537484
1574702906916650560,-0.43697942457 0.214118194843 2.96938907628
1574702906926758596,-0.43697942457 0.214118194843 2.96938907628
1574702906936863481,-0.418072326262 0.220024942715 2.96765280787
1574702906946984488,-0.418072326262 0.220024942715 2.96765280787
1574702906957092110,-0.399438585262 0.225527134896 2.96666004072
1574702906967165551,-0.399438585262 0.225527134896 2.96666004072
1574702906977268255,-0.380927041878 0.230761014014 2.96632385313
1574702906987374858,-0.380927041878 0.230761014014 2.96632385313
1574702906997479550,-0.36241956357 0.236256916014 2.96625025367
1574702907007587740,-0.36241956357 0.236256916014 2.96625025367
1574702907017692192,-0.343437081635 0.242654633907 2.96618859071
1574702907027797260,-0.343437081635 0.242654633907 2.96618859071
1574702907037927925,-0.32399827825 0.249901310228 2.96618435026
1574702907048033997,-0.32399827825 0.249901310228 2.96618435026
1574702907058142133,-0.304746019196 0.257362469395 2.9661193743
1574702907068213969,-0.304746019196 0.257362469395 2.9661193743
1574702907078323363,-0.286132995806 0.264606787685 2.9664699988
1574702907088428888,-0.286132995806 0.264606787685 2.9664699988
1574702907098498437,-0.268539894888 0.271882822766 2.96740018025
1574702907108602493,-0.268539894888 0.271882822766 2.96740018025
1574702907118664580,-0.251454715478 0.279583978622 2.96842546085
1574702907128786864,-0.242940144422 0.283556903757 2.96904903623
1574702907138854389,-0.234386457713 0.287592693894 2.96969194443
1574702907148958717,-0.225804741404 0.291643892068 2.97040937803
1574702907159081174,-0.217273553019 0.295668446658 2.97123748999
1574702907169189361,-0.208891992818 0.299670376324 2.97202169767
1574702907179270651,-0.200701553181 0.30367825645 2.97283904424
1574702907189375281,-0.192338181743 0.307404296043 2.97389817428
1574702907199449322,-0.183828110438 0.310831196542 2.97526225856
1574702907209570245,-0.17560459045 0.314270556632 2.97662966906
1574702907219676227,-0.167645152608 0.31774907253 2.97802857548
1574702907229786103,-0.159939569873 0.321294366038 2.97947807196
1574702907239893658,-0.152389567015 0.324976365939 2.98089439406
1574702907250003309,-0.144851253253 0.328835506601 2.98237365088
1574702907260173951,-0.137381294723 0.332803040349 2.98399497203
1574702907270281787,-0.130037517707 0.336776801362 2.98556545946
1574702907280388529,-0.122933517696 0.3406571844 2.98721077714
1574702907290495088,-0.116142054616 0.344396001203 2.9889159224
1574702907300602974,-0.109675140722 0.348046423908 2.99078238863
1574702907310707797,-0.103522375378 0.351634496448 2.99268478963
1574702907320774001,-0.0977066341711 0.355145098785 2.99462746874
1574702907330885775,-0.0866958145109 0.361935485958 2.99855629809
1574702907340960176,-0.0866958145109 0.361935485958 2.99855629809
1574702907351031981,-0.0866958145109 0.361935485958 2.99855629809
1574702907361139645,-0.0758105023769 0.368329373265 3.00244726347
1574702907371213143,-0.070368184625 0.371304297629 3.00440534325
1574702907381314845,-0.0650321771991 0.374088389294 3.00641126629
1574702907381314845,-0.0650321771991 0.374088389294 3.00641126629
1574702907391409354,-0.0650321771991 0.374088389294 3.00641126629
1574702907401480012,-0.0550062796013 0.379145133401 3.01042127991
1574702907411587226,-0.05046605753 0.381507217122 3.01236331049
1574702907421659466,-0.0462522077413 0.383823153391 3.01431029272
1574702907431765169,-0.0422164564336 0.386080737482 3.01640628088
1574702907441873246,-0.0382445770762 0.388232965327 3.01841572139
1574702907452052696,-0.034298605705 0.390246581263 3.02041493509
1574702907462144859,-0.0302576653494 0.392120403586 3.02247865032
1574702907472230294,-0.0260250639114 0.393905732648 3.02446718249
1574702907482336765,-0.0215632926009 0.395680514124 3.02654591242
1574702907492540592,-0.0169630568232 0.397481665983 3.02865240275
1574702907502607616,-0.0122925659856 0.399276708041 3.03086703951
1574702907512710110,-0.0075612907225 0.401013328016 3.03297258053
1574702907522780244,-0.00277040303171 0.402706623259 3.0350948381
1574702907532883239,0.00689064948792 0.406037760454 3.03968745925
1574702907542973580,0.00689064948792 0.406037760454 3.03968745925
1574702907553057215,0.0160953103214 0.409376006995 3.0444389946
1574702907563111987,0.0160953103214 0.409376006995 3.0444389946
1574702907573196125,0.0204736074518 0.411067384733 3.04674409983
1574702907583251725,0.0247751426508 0.412771547584 3.04905941115
1574702907593347372,0.0290881418568 0.414471606198 3.05139613425
1574702907603447850,0.0334616857516 0.416134182933 3.05380906154
1574702907613540102,0.0421238560741 0.419228112234 3.05830375852
1574702907623629232,0.0421238560741 0.419228112234 3.05830375852
1574702907633687146,0.0499911892514 0.421972933918 3.06253696558
1574702907643792457,0.0499911892514 0.421972933918 3.06253696558
1574702907653915691,0.0534167705799 0.423258279958 3.06448991277
1574702907664022226,0.056494625501 0.424537902273 3.06648452169
1574702907674148906,0.0592323073493 0.425820368683 3.06833059801
1574702907684256406,0.0640568664545 0.428383997567 3.07188212831
1574702907694329823,0.0640568664545 0.428383997567 3.07188212831
1574702907704435205,0.0685602537082 0.430647981658 3.07550109819
1574702907714539249,0.0685602537082 0.430647981658 3.07550109819
1574702907724646432,0.0707597571303 0.43164136306 3.07720725381
1574702907734738428,0.0729078493639 0.432565870536 3.07897389528
1574702907744805447,0.0749824986922 0.433408763733 3.08056315454
1574702907754917783,0.0770155313188 0.434178572271 3.08205585444
1574702907765021932,0.081130156189 0.435633836963 3.08513441863
1574702907775100064,0.081130156189 0.435633836963 3.08513441863
1574702907785206435,0.0846227789308 0.437364406194 3.08790302323
1574702907795350326,0.0846227789308 0.437364406194 3.08790302323
1574702907805477045,0.085286643972 0.440029861299 3.08964070925
1574702907815567974,0.085286643972 0.440029861299 3.08964070925
1574702907825674883,0.0856111404709 0.443303742696 3.09138911692
1574702907835789380,0.0856111404709 0.443303742696 3.09138911692
1574702907845896720,0.0856697864251 0.445107874288 3.09217929872
1574702907856004376,0.0858207286571 0.448889876463 3.09379578494
1574702907866126996,0.0858207286571 0.448889876463 3.09379578494
1574702907876235483,0.0861430891101 0.452355688308 3.09519456072
1574702907886321725,0.0861430891101 0.452355688308 3.09519456072
1574702907896427702,0.086833707625 0.454897540814 3.09653314765
1574702907906532135,0.086833707625 0.454897540814 3.09653314765
1574702907916638135,0.0882745302904 0.45643378732 3.09745115039
1574702907926743132,0.0882745302904 0.45643378732 3.09745115039
1574702907936847893,0.0900876780989 0.457310771981 3.09818182002
1574702907947000728,0.0900876780989 0.457310771981 3.09818182002
1574702907957106083,0.0918303379131 0.457659808175 3.09856702759
1574702907967179568,0.0918303379131 0.457659808175 3.09856702759
1574702907977250036,0.0934212033412 0.457808564289 3.09871533592
1574702907987361479,0.0934212033412 0.457808564289 3.09871533592
1574702907997466047,0.0950751226391 0.458860041336 3.09890186012
1574702908007574502,0.0950751226391 0.458860041336 3.09890186012
1574702908017702408,0.0974413805152 0.459937789396 3.09889425332
1574702908027825376,0.0974413805152 0.459937789396 3.09889425332
1574702908037932111,0.100432332286 0.460335502247 3.09873836939
1574702908048052211,0.100432332286 0.460335502247 3.09873836939
1574702908058213464,0.102016090487 0.460210904321 3.09847990704
1574702908068321105,0.105143142644 0.459385041918 3.09822660109
1574702908078426624,0.106683114927 0.458858337512 3.09808113232
1574702908088533672,0.108150459494 0.45841004195 3.09796038932
1574702908098604886,0.109554912804 0.458081990281 3.09795358932
1574702908108713614,0.110987751835 0.457885721943 3.09778797007
1574702908118921303,0.112475823722 0.457763650259 3.09756507257
1574702908129030590,0.114021149985 0.457584025497 3.09741553314
1574702908139092513,0.115639388676 0.457240819334 3.09710296127
1574702908149196739,0.115639388676 0.457240819334 3.09710296127
1574702908159265580,0.119048270478 0.455981696141 3.09651997331
1574702908169406046,0.119048270478 0.455981696141 3.09651997331
1574702908179514711,0.122170295081 0.453976573252 3.09590459542
1574702908189622708,0.122170295081 0.453976573252 3.09590459542
1574702908199730251,0.124909918385 0.451692898005 3.09522763751
1574702908209838545,0.124909918385 0.451692898005 3.09522763751
1574702908219939817,0.12728965743 0.449347345424 3.09448323779
1574702908230063618,0.12728965743 0.449347345424 3.09448323779
1574702908240175642,0.12935067918 0.446879232709 3.09377888167
1574702908250294913,0.12935067918 0.446879232709 3.09377888167
1574702908260417956,0.131275200719 0.44381381771 3.09306658587
1574702908270525612,0.132337981854 0.441893627668 3.09255710079
1574702908280634729,0.133486570379 0.439649740777 3.09195805585
1574702908290742884,0.134760576952 0.436991228065 3.09129082694
1574702908300854883,0.136191679026 0.433905681002 3.09069218144
1574702908310967431,0.137817397798 0.430472606131 3.08989133123
1574702908321094103,0.139617883444 0.426850267103 3.08907573685
1574702908331161581,0.141525816076 0.423184982244 3.08841972326
1574702908341233756,0.143455738989 0.419545478795 3.08762096953
1574702908351303312,0.145429150696 0.415956161972 3.08676786447
1574702908351303312,0.147422692009 0.412377709399 3.08602395897
1574702908361373462,0.147422692009 0.412377709399 3.08602395897
1574702908371448418,0.149460222412 0.408749940786 3.0851695675
1574702908381520051,0.151567814265 0.405090906977 3.08428211815
1574702908391626483,0.153679754955 0.401235498032 3.08334227928
1574702908401697436,0.155638967848 0.397024261762 3.08251930843
1574702908411803090,0.159113053973 0.387797047867 3.08056059892
1574702908421874745,0.159113053973 0.387797047867 3.08056059892
1574702908431943117,0.161580661692 0.378028280688 3.07839914058
1574702908442064033,0.161580661692 0.378028280688 3.07839914058
1574702908452137851,0.163461847422 0.36861709055 3.07637896456
1574702908462208550,0.163461847422 0.36861709055 3.07637896456
1574702908472277636,0.166344952511 0.360221185817 3.07449636548
1574702908482381879,0.166344952511 0.360221185817 3.07449636548
1574702908492449459,0.170981923712 0.352990091207 3.07320991023
1574702908502564685,0.170981923712 0.352990091207 3.07320991023
1574702908512655703,0.173989948564 0.349660071863 3.07256577127
1574702908522762360,0.177396725834 0.346444675055 3.07191038946
1574702908532825601,0.181036316061 0.343329900083 3.07140050774
1574702908542896200,0.184607503517 0.340272067342 3.07077886769
1574702908552988639,0.187889450941 0.337181996336 3.07014432828
1574702908563082601,0.190838171511 0.334018065595 3.06958809306
1574702908573153387,0.193555351468 0.330815805695 3.06893789815
1574702908583220786,0.196153126061 0.327651850537 3.06833417578
1574702908593324501,0.198582221827 0.324965720909 3.06772753935
1574702908603403782,0.200855634317 0.322734834537 3.06722407075
1574702908613490414,0.203023762979 0.32051737348 3.06659108158
1574702908623558371,0.205076896745 0.31823031934 3.06600103151
1574702908633667233,0.207038255545 0.315815691048 3.06560964843
1574702908643774603,0.208941412743 0.313247336754 3.06514216073
1574702908653878598,0.210963823151 0.31057712907 3.06468619149
1574702908663991000,0.213261257208 0.307878227761 3.0643822485
1574702908674097944,0.215736768217 0.305153693635 3.06399163486
1574702908684204994,0.218210596835 0.302332984935 3.06365493884
1574702908694327011,0.220611512458 0.299375371994 3.06337389173
1574702908704413548,0.222920235871 0.296309997131 3.06321609711
1574702908714479796,0.22516403302 0.293162988589 3.06292543701
1574702908724576786,0.22741521133 0.289943751305 3.06268692901
1574702908734633980,0.229734526735 0.286703747005 3.06263226953
1574702908744740446,0.232202265495 0.283479312709 3.06250545315
1574702908754856874,0.234804402156 0.280270319642 3.06248403768
1574702908764942533,0.239756210648 0.273924437781 3.0627854005
1574702908775054727,0.239756210648 0.273924437781 3.0627854005
1574702908785149543,0.243631747777 0.267132140013 3.06298737469
1574702908795298518,0.243631747777 0.267132140013 3.06298737469
1574702908805365344,0.245934382506 0.259401183506 3.0631743438
1574702908815466598,0.245934382506 0.259401183506 3.0631743438
1574702908825551745,0.246544625393 0.255636034525 3.06315406176
1574702908835659180,0.247208012832 0.248418423101 3.06321312059
1574702908845745897,0.247208012832 0.248418423101 3.06321312059
1574702908855851663,0.248044620328 0.241618698 3.06341845776
1574702908865925193,0.248044620328 0.241618698 3.06341845776
1574702908876032802,0.249489385072 0.235259247319 3.06353935674
1574702908886137978,0.249489385072 0.235259247319 3.06353935674
1574702908896245734,0.250978708539 0.229131148715 3.06382395162
1574702908906337684,0.250978708539 0.229131148715 3.06382395162
1574702908916467633,0.252281173729 0.223050331847 3.06416120173
1574702908926577455,0.252281173729 0.223050331847 3.06416120173
1574702908936684631,0.253667661767 0.217134624539 3.06476988781
1574702908946789676,0.253667661767 0.217134624539 3.06476988781
1574702908956894670,0.255453725985 0.211776193833 3.06569014039
1574702908967027227,0.255453725985 0.211776193833 3.06569014039
1574702908977157086,0.257867137731 0.207447461943 3.06693037336
1574702908987283064,0.257867137731 0.207447461943 3.06693037336
1574702908997414870,0.260682775168 0.205246643694 3.06882917143
1574702909007538613,0.260682775168 0.205246643694 3.06882917143
1574702909017652131,0.263478561291 0.204273273542 3.07091646976
1574702909027759995,0.263478561291 0.204273273542 3.07091646976
1574702909037926482,0.265560803893 0.20335454243 3.07315590417
1574702909048034845,0.265560803893 0.20335454243 3.07315590417
1574702909058142371,0.266231834484 0.201730608553 3.07519654624
1574702909068248025,0.266231834484 0.201730608553 3.07519654624
1574702909078375388,0.2654532509 0.199039532528 3.07691278936
1574702909088484125,0.2654532509 0.199039532528 3.07691278936
1574702909098589150,0.264213875083 0.195203613773 3.0784957405
1574702909108709609,0.264213875083 0.195203613773 3.0784957405
1574702909118814878,0.263684954404 0.19048228165 3.07976160033
