%time,field.data
1574701854577246055,-0.0723606593964 -0.0317177527527 3.07221642219
1574701854587333784,-0.0818743579763 -0.0374351444796 3.07145245287
1574701854597439217,-0.0960118019491 -0.0427053711009 3.07082222241
1574701854607560166,-0.114451853776 -0.0475245209241 3.07018692243
1574701854617692118,-0.136262253224 -0.0517763600108 3.06963627339
1574701854627780816,-0.160313283672 -0.0553191260082 3.06904722649
1574701854637890554,-0.160313283672 -0.0553191260082 3.06904722649
1574701854647964759,-0.210383691558 -0.0597059685614 3.06812981133
1574701854658094125,-0.210383691558 -0.0597059685614 3.06812981133
1574701854668200045,-0.256064305861 -0.0596453842126 3.06680614683
1574701854678307253,-0.256064305861 -0.0596453842126 3.06680614683
1574701854688372547,-0.292152924642 -0.0556458517562 3.06431004473
1574701854698456161,-0.292152924642 -0.0556458517562 3.06431004473
1574701854708564256,-0.317743824578 -0.0499477344288 3.06027977599
1574701854718631912,-0.317743824578 -0.0499477344288 3.06027977599
1574701854728698373,-0.333921484251 -0.0458344604476 3.05575443659
1574701854738737532,-0.338965701084 -0.0451127974265 3.05351520349
1574701854748844413,-0.342231256902 -0.0452553634296 3.05149764707
1574701854758914735,-0.343985556254 -0.0460164666239 3.04952948609
1574701854769019373,-0.34460267853 -0.0470455323989 3.04771661179
1574701854779113035,-0.344400746512 -0.0479518039354 3.04604644035
1574701854789217756,-0.3435328323 -0.0483110695546 3.04407192923
1574701854799311460,-0.342128814559 -0.0480196877255 3.04181926385
1574701854809415626,-0.340265261921 -0.0469497464659 3.03937386931
1574701854819520961,-0.334766339764 -0.0420821489056 3.0340807586
1574701854829591365,-0.334766339764 -0.0420821489056 3.0340807586
1574701854839698587,-0.326872559925 -0.0343715624577 3.02836337231
1574701854849820302,-0.326872559925 -0.0343715624577 3.02836337231
1574701854860030010,-0.317053395665 -0.0252439090904 3.02255964026
1574701854870138032,-0.317053395665 -0.0252439090904 3.02255964026
1574701854880241749,-0.305466951833 -0.0156768965479 3.0174511241
1574701854890351070,-0.305466951833 -0.0156768965479 3.0174511241
1574701854900414155,-0.299125972375 -0.0107075228815 3.0150116076
1574701854910522729,-0.292364381695 -0.00551188029494 3.01255892038
1574701854920724093,-0.285158751227 4.84186960767e-05 3.01022254689
1574701854930828569,-0.277497112726 0.00606383033808 3.00780507411
1574701854940920114,-0.269457365722 0.01254252335 3.00549454354
1574701854950986157,-0.261110396986 0.0193135583749 3.00345031248
1574701854961094123,-0.252540433298 0.0262308218791 3.00145254858
1574701854971205461,-0.243875063604 0.0331860279619 2.99967599865
1574701854981330517,-0.235293186696 0.0401810504719 2.99826897053
1574701854991437641,-0.226938683203 0.0471997787855 2.99703185837
1574701855001552226,-0.218723093362 0.054244797774 2.99607517054
1574701855011673694,-0.210754533164 0.0613903214575 2.9953758215
1574701855021779999,-0.203138040651 0.0687020635318 2.99492049713
1574701855031846305,-0.195828736856 0.0761874039116 2.99444741864
1574701855041950828,-0.188705630161 0.0837984955736 2.99409361572
1574701855052059900,-0.181729017699 0.091467130738 2.99405904149
1574701855062179108,-0.174826609114 0.0991330155256 2.9940913501
1574701855072300269,-0.16802246188 0.106745316155 2.99431755942
1574701855082422093,-0.161384384072 0.114278891193 2.99480034758
1574701855092529889,-0.155001656168 0.121824530422 2.9952326055
1574701855102634201,-0.148776582297 0.129442675395 2.99574101827
1574701855112759850,-0.142646047744 0.137102253061 2.99635954429
1574701855122833756,-0.136575152781 0.144696863613 2.99716964983
1574701855132938139,-0.130532652409 0.152219744742 2.99793568808
1574701855143004604,-0.124418617085 0.15971457626 2.99872314082
1574701855153112241,-0.111995287769 0.174960435471 3.00049140851
1574701855163185337,-0.111995287769 0.174960435471 3.00049140851
1574701855173289863,-0.105837374664 0.182856576397 3.00127127833
1574701855183394017,-0.0997834456702 0.190897890079 3.0021730655
1574701855193519958,-0.0879824568404 0.207276970128 3.00387167598
1574701855203646261,-0.0879824568404 0.207276970128 3.00387167598
1574701855213753850,-0.0767145131474 0.223857570032 3.00580780981
1574701855223861363,-0.0767145131474 0.223857570032 3.00580780981
1574701855233968654,-0.0714060080957 0.231797219591 3.00681548447
1574701855233968654,-0.0714060080957 0.231797219591 3.00681548447
1574701855244061692,-0.0662953913492 0.239554272984 3.00789959242
1574701855254184540,-0.0569733076622 0.255179699696 3.01033913286
1574701855264256029,-0.0569733076622 0.255179699696 3.01033913286
1574701855274377948,-0.0484609715637 0.271790760377 3.01286549748
1574701855284482606,-0.0484609715637 0.271790760377 3.01286549748
1574701855294603711,-0.0395177129255 0.288683229437 3.01546834415
1574701855304708908,-0.0395177129255 0.288683229437 3.01546834415
1574701855314782782,-0.0298244561944 0.303925598448 3.01842108038
1574701855324889534,-0.0298244561944 0.303925598448 3.01842108038
1574701855335008983,-0.0195510047666 0.316155524465 3.02156068141
1574701855345117895,-0.014050707679 0.321045494064 3.02341397347
1574701855355206837,-0.00820488115621 0.325223799707 3.0251988077
1574701855365274373,-0.00206714317145 0.328764384864 3.02706286434
1574701855375380684,0.00431239022594 0.331742082673 3.02904558094
1574701855385496983,0.0107943796436 0.334317839366 3.0308658656
1574701855395603838,0.0172542595863 0.336584334627 3.03270512186
1574701855405713221,0.0235509961105 0.338581125169 3.0345895685
1574701855415823566,0.0293910540584 0.34032136375 3.03659269893
1574701855425893698,0.0346994430994 0.34180114256 3.038415964
1574701855436031751,0.0346994430994 0.34180114256 3.038415964
1574701855446238946,0.044115314768 0.344405567782 3.04200563455
1574701855456345569,0.044115314768 0.344405567782 3.04200563455
1574701855466450583,0.0535625337505 0.347740243388 3.04515588756
1574701855476540672,0.0535625337505 0.347740243388 3.04515588756
1574701855486648596,0.0630679493772 0.351839113155 3.04818280971
1574701855496739134,0.0630679493772 0.351839113155 3.04818280971
1574701855506897255,0.0711686363328 0.356749652623 3.05109784706
1574701855516968371,0.0711686363328 0.356749652623 3.05109784706
1574701855527037035,0.0776363563825 0.362182907304 3.05414615727
1574701855537103258,0.0776363563825 0.362182907304 3.05414615727
1574701855547176150,0.0833587192302 0.366813774643 3.05703723091
1574701855557244266,0.0833587192302 0.366813774643 3.05703723091
1574701855567352041,0.0888413300173 0.371248513322 3.05963648888
1574701855577460814,0.0914615214667 0.37368897884 3.06110842849
1574701855587566529,0.0939419061583 0.376078290339 3.06245725811
1574701855597637472,0.0961742518754 0.37823096831 3.06380931961
1574701855607744335,0.0981507526514 0.380181489744 3.06511612357
1574701855617850090,0.0999741864718 0.382153119996 3.06658800961
1574701855627954586,0.101571195249 0.384229862353 3.06791427385
1574701855638085980,0.102994024064 0.386303067795 3.06920248164
1574701855648192306,0.104226879732 0.388256861302 3.07060375166
1574701855658299676,0.105161241872 0.390046108 3.0718519994
1574701855668406522,0.105161241872 0.390046108 3.0718519994
1574701855678511647,0.105637785892 0.393445051919 3.0746108563
1574701855688581828,0.104797132171 0.395402510462 3.07604734259
1574701855698718160,0.101156334322 0.400368959401 3.07912231721
1574701855708844075,0.101156334322 0.400368959401 3.07912231721
