%time,field.data
1574701273501961623,0.0549059654951 0.163224361157 3.10501893522
1574701273512083370,0.0549059654951 0.163224361157 3.10501893522
1574701273522190906,0.05508357547 0.171370186545 3.10634583119
1574701273532296012,0.05508357547 0.171370186545 3.10634583119
1574701273542400985,0.0549897176866 0.179245357798 3.10741564731
1574701273552467210,0.0549897176866 0.179245357798 3.10741564731
1574701273562534399,0.0547375608493 0.187043180079 3.10816795274
1574701273572600941,0.0547375608493 0.187043180079 3.10816795274
1574701273582705023,0.0539075742234 0.194666969383 3.10873397888
1574701273592811434,0.0539075742234 0.194666969383 3.10873397888
1574701273602942332,0.0525855649441 0.201796116635 3.10903984808
1574701273613063856,0.0525855649441 0.201796116635 3.10903984808
1574701273623102630,0.0510366452014 0.208360630108 3.10891344724
1574701273633209817,0.0510366452014 0.208360630108 3.10891344724
1574701273643314395,0.0501914977161 0.211462616701 3.10873544865
1574701273653467964,0.0482996558403 0.217408947593 3.10809087432
1574701273663535395,0.0473044505079 0.220230027423 3.10763099232
1574701273673620481,0.0462958964224 0.222920186709 3.10707071501
1574701273683688081,0.0453010402558 0.2254656378 3.10638162252
1574701273693789321,0.0442600566435 0.227921570004 3.1056153604
1574701273693789321,0.0442600566435 0.227921570004 3.1056153604
1574701273703901744,0.0431273284465 0.230290535834 3.10475954507
1574701273713990148,0.0431273284465 0.230290535834 3.10475954507
1574701273724094899,0.0404837413546 0.234633923578 3.1028025376
1574701273734201144,0.0404837413546 0.234633923578 3.1028025376
1574701273744306452,0.0374912123407 0.238727539972 3.100517925
1574701273754434249,0.0374912123407 0.238727539972 3.100517925
1574701273764541219,0.0343184039106 0.242825372607 3.0980517344
1574701273774646017,0.0343184039106 0.242825372607 3.0980517344
1574701273784750107,0.0309984720309 0.246708764601 3.0955659498
1574701273794857136,0.0309984720309 0.246708764601 3.0955659498
1574701273804965439,0.0274352591435 0.250124514161 3.09303408967
1574701273815033578,0.0274352591435 0.250124514161 3.09303408967
1574701273825106865,0.0233215793657 0.252940201522 3.09041130208
1574701273835180409,0.0233215793657 0.252940201522 3.09041130208
1574701273845288770,0.0187035624181 0.255186684255 3.08776128778
1574701273855396500,0.0163448840074 0.256173737393 3.08637459456
1574701273865456971,0.0140134202664 0.257133486726 3.0850251278
1574701273875580735,0.0117334243555 0.258091374094 3.08369505761
1574701273885670355,0.00953740868754 0.259028712063 3.08235567929
1574701273895771039,0.00739979759669 0.25985308326 3.08107506825
1574701273905866160,0.00533103197568 0.260543453002 3.07980805156
1574701273915976529,0.00340686921514 0.261108248047 3.07855802494
1574701273926102822,0.00160574194018 0.26151237712 3.07726079055
1574701273936212093,-6.35562297788e-05 0.26175949496 3.07600693344
1574701273946317736,-0.00159511140067 0.261860084296 3.07478457781
1574701273956422908,-0.00295982803545 0.261843143793 3.07358093354
1574701273966492383,-0.00295982803545 0.261843143793 3.07358093354
1574701273976674813,-0.0060687173203 0.261324926673 3.07025735631
1574701273986785550,-0.0060687173203 0.261324926673 3.07025735631
1574701273996910495,-0.0074941822521 0.260642055957 3.06822034809
1574701274007019398,-0.0074941822521 0.260642055957 3.06822034809
1574701274017127437,-0.00853356852983 0.259622695088 3.06621818367
1574701274027200153,-0.00853356852983 0.259622695088 3.06621818367
1574701274037235392,-0.00892677199523 0.258949669523 3.06527761836
1574701274047302402,-0.00922836401719 0.258179425303 3.06437684553
1574701274057478337,-0.00945152963039 0.257334227709 3.06347953141
1574701274067593255,-0.00961311007996 0.256431803903 3.06265282111
1574701274077660356,-0.00976909565675 0.255513771343 3.06187390082
1574701274087782171,-0.00997106827828 0.254627328958 3.06108182092
1574701274097889998,-0.0102191232146 0.253816484142 3.0603202226
1574701274107996558,-0.0104423364956 0.253122540324 3.05956193283
1574701274118101486,-0.0106135908761 0.252593102076 3.05880828459
1574701274128189159,-0.0106760754936 0.252257274951 3.0580182863
1574701274138295163,-0.0106286357867 0.252122128928 3.05726096687
1574701274148401481,-0.0105457752375 0.252163194027 3.05648431232
1574701274158464203,-0.0105069077697 0.252320568938 3.05563091488
1574701274168567334,-0.0105268268702 0.252535040627 3.05478801644
1574701274178688126,-0.0105680977008 0.252741709973 3.05392407553
1574701274188793184,-0.0106303241301 0.253072016721 3.05207833902
1574701274198900660,-0.0106303241301 0.253072016721 3.05207833902
1574701274209008471,-0.0106383756811 0.253187350395 3.05111199041
1574701274219085316,-0.0104756256427 0.253238854377 3.04905863102
1574701274229193492,-0.0104756256427 0.253238854377 3.04905863102
1574701274239298154,-0.00962493205189 0.253023625617 3.04691436655
1574701274249422619,-0.00962493205189 0.253023625617 3.04691436655
1574701274259530991,-0.00777912464589 0.252495848026 3.0444980294
1574701274269605212,-0.00777912464589 0.252495848026 3.0444980294
1574701274279725484,-0.0049880986604 0.251856216845 3.0419497484
1574701274289833769,-0.0049880986604 0.251856216845 3.0419497484
1574701274299941785,-0.00155206240239 0.251094326756 3.03923531816
1574701274310048155,-0.00155206240239 0.251094326756 3.03923531816
1574701274320181939,0.00245862654403 0.25032763068 3.03643168374
1574701274330288232,0.00245862654403 0.25032763068 3.03643168374
1574701274340396196,0.00671219847976 0.249558442207 3.03361563326
1574701274350520433,0.00671219847976 0.249558442207 3.03361563326
1574701274360627767,0.0112729904844 0.248919085795 3.03080045541
1574701274370698050,0.0112729904844 0.248919085795 3.03080045541
1574701274380818982,0.0136310295192 0.248711667912 3.02942781202
1574701274390939910,0.018479908822 0.248536416903 3.02665493441
1574701274401063499,0.018479908822 0.248536416903 3.02665493441
1574701274411196230,0.0232426551237 0.248741858514 3.02395615274
1574701274421312372,0.0232426551237 0.248741858514 3.02395615274
1574701274431417408,0.0278068629469 0.249159197121 3.02133051242
1574701274441470850,0.0278068629469 0.249159197121 3.02133051242
1574701274451593082,0.0320313701836 0.249719432438 3.01881545343
1574701274461683666,0.0339539362105 0.250048249699 3.01762376526
1574701274471817659,0.0358093728035 0.250401077861 3.01647521742
1574701274481893259,0.0375548199712 0.250788637831 3.01536829038
1574701274491989601,0.0391887426782 0.251175986282 3.01433377199
1574701274502131618,0.0407156073754 0.251540031441 3.01335011044
1574701274512253260,0.0407156073754 0.251540031441 3.01335011044
1574701274522360159,0.0433541453799 0.252318651093 3.0115259117
