%time,field.data
0,-0.588903013413 0.133194208026 2.99166042772
1574700759917046851,-0.587375873228 0.137514423408 2.99041398109
1574700759927153737,-0.583891188375 0.146132338537 2.98832255261
1574700759937219943,-0.583891188375 0.146132338537 2.98832255261
1574700759947350078,-0.579985341474 0.154337512033 2.98656213114
1574700759957443512,-0.579985341474 0.154337512033 2.98656213114
1574700759967580220,-0.576308199552 0.161979463725 2.98481978071
1574700759967580220,-0.576308199552 0.161979463725 2.98481978071
1574700759977650990,-0.576308199552 0.161979463725 2.98481978071
1574700759987759055,-0.573495046565 0.169148454876 2.9834505658
1574700759997849048,-0.573495046565 0.169148454876 2.9834505658
1574700760007955003,-0.571434198938 0.176235248921 2.9818824946
1574700760018027289,-0.571434198938 0.176235248921 2.9818824946
1574700760028133935,-0.569552665798 0.183633347206 2.98031993145
1574700760038241975,-0.569552665798 0.183633347206 2.98031993145
1574700760048354308,-0.567487573271 0.191295819384 2.97859540732
1574700760058463246,-0.567487573271 0.191295819384 2.97859540732
1574700760068555335,-0.564793798982 0.199081942864 2.97676750697
1574700760078621328,-0.564793798982 0.199081942864 2.97676750697
1574700760088729879,-0.561545724919 0.207248997078 2.97520117888
1574700760098818184,-0.561545724919 0.207248997078 2.97520117888
1574700760108925287,-0.558109601947 0.215842422086 2.97348576777
1574700760119033166,-0.558109601947 0.215842422086 2.97348576777
1574700760129140247,-0.554176258847 0.224647361934 2.97194990537
1574700760139262175,-0.551703471452 0.229129852847 2.97109896895
1574700760149388454,-0.548763537936 0.233593646265 2.97055255352
1574700760159495677,-0.545269896793 0.237997189279 2.96983420428
1574700760169600722,-0.54118942684 0.242372127224 2.96918873665
1574700760179707388,-0.536507526052 0.246671779297 2.96865030255
1574700760189812379,-0.531201448331 0.250796032302 2.9684426215
1574700760199935200,-0.5253057302 0.254736637424 2.96816962204
1574700760210019890,-0.518956494946 0.258515558768 2.96810984498
1574700760220087171,-0.518956494946 0.258515558768 2.96810984498
1574700760230214107,-0.505515151544 0.265613506765 2.96872897914
1574700760240277230,-0.498576233468 0.268982643408 2.96909569539
1574700760250398082,-0.491486192187 0.272292094095 2.96982783969
1574700760260508340,-0.484248560212 0.275521638619 2.97043437155
1574700760270636127,-0.476842153102 0.278653526219 2.97106190832
1574700760280706492,-0.469227476157 0.281708166499 2.9717949943
1574700760290853616,-0.461445128931 0.284681097439 2.97289675057
1574700760300920722,-0.453492486195 0.287527483154 2.97383871617
1574700760311043803,-0.445367773674 0.290258257857 2.97480820224
1574700760321108962,-0.437070837779 0.292955941169 2.97605652504
1574700760331216482,-0.428625915777 0.29561192812 2.97716157668
1574700760341408347,-0.420082108164 0.298211655192 2.97833884876
1574700760351480741,-0.411473128016 0.30075494054 2.97977716987
1574700760361582972,-0.402820559958 0.303222869366 2.98105669177
1574700760371690830,-0.394224261695 0.305569129822 2.98245024741
1574700760381798167,-0.385747150315 0.307782876046 2.98386785046
1574700760391869463,-0.377366437348 0.309924028455 2.98554720322
1574700760401952054,-0.36904065011 0.312041303744 2.98708470498
1574700760412058079,-0.36904065011 0.312041303744 2.98708470498
1574700760422168971,-0.352329767863 0.316164563468 2.99044423591
1574700760432260347,-0.352329767863 0.316164563468 2.99044423591
1574700760442366820,-0.335104412184 0.320199198918 2.99382708844
1574700760452479004,-0.335104412184 0.320199198918 2.99382708844
1574700760462584736,-0.317435456816 0.323998279104 2.99763661093
1574700760472706069,-0.30861618306 0.32584181423 2.99947508382
1574700760482813355,-0.29990909275 0.327677683071 3.00125809963
1574700760492918876,-0.291357785415 0.32956974092 3.00325228974
1574700760503045254,-0.283068606746 0.33154489099 3.00496120823
1574700760513152163,-0.274963030795 0.333623555948 3.00659515037
1574700760523275403,-0.267044110272 0.335851456012 3.00842885697
1574700760533391709,-0.259288286366 0.338216985061 3.01001392617
1574700760543496664,-0.251666573288 0.340684543944 3.01158687613
1574700760553571395,-0.244167382225 0.343223997448 3.01341700343
1574700760563637152,-0.236786007649 0.345773203612 3.01504971782
1574700760573724245,-0.229522432254 0.348324307415 3.01667606952
1574700760583816619,-0.222316993729 0.350915454389 3.01829683361
1574700760593920670,-0.207941556048 0.356294646592 3.02168967814
1574700760604045769,-0.207941556048 0.356294646592 3.02168967814
1574700760614170923,-0.19359972112 0.361861015133 3.0252511023
1574700760624278510,-0.19359972112 0.361861015133 3.0252511023
1574700760634407903,-0.179198063275 0.367298689626 3.02870037716
1574700760644517339,-0.179198063275 0.367298689626 3.02870037716
1574700760654640398,-0.164882103858 0.372512733223 3.03234591006
1574700760664770539,-0.164882103858 0.372512733223 3.03234591006
1574700760674842823,-0.150790592784 0.377363321153 3.03567309242
1574700760684948204,-0.150790592784 0.377363321153 3.03567309242
1574700760695055962,-0.136600635359 0.381727389659 3.0392926137
1574700760705140238,-0.136600635359 0.381727389659 3.0392926137
1574700760715248104,-0.122289736687 0.385963966659 3.0430115144
1574700760725336775,-0.122289736687 0.385963966659 3.0430115144
1574700760735442880,-0.108177475823 0.390383518648 3.04651960902
1574700760745517617,-0.108177475823 0.390383518648 3.04651960902
1574700760755625417,-0.0947826613344 0.395042734176 3.0501152462
1574700760765709691,-0.0947826613344 0.395042734176 3.0501152462
1574700760776051626,-0.0822936394876 0.400203936094 3.05322731796
1574700760786161162,-0.0822936394876 0.400203936094 3.05322731796
1574700760796268950,-0.0706046557919 0.405777894882 3.05636067956
1574700760806374044,-0.0706046557919 0.405777894882 3.05636067956
1574700760816479150,-0.0595884446971 0.411227798472 3.059197543
1574700760826584695,-0.0595884446971 0.411227798472 3.059197543
1574700760836698153,-0.0494552167674 0.416212200195 3.06136318388
1574700760846825302,-0.0494552167674 0.416212200195 3.06136318388
1574700760856930268,-0.04092792733 0.420517112069 3.06312765553
