%time,field.data
1574703711280947298,0.0306952819063 0.189353487799 3.08615122402
1574703711291149479,0.027693065028 0.190482281638 3.08725262291
1574703711301257484,0.027693065028 0.190482281638 3.08725262291
1574703711311340710,0.025876438855 0.191393235454 3.08769524509
1574703711321415592,0.023788933793 0.192459869558 3.08810252651
1574703711331522626,0.0183923314353 0.194648597991 3.08864537089
1574703711341628953,0.0183923314353 0.194648597991 3.08864537089
1574703711351798553,0.0110401536433 0.196911633781 3.08867416099
1574703711361947802,0.0110401536433 0.196911633781 3.08867416099
1574703711372055861,0.00209272250725 0.199649912701 3.08819185762
1574703711382152813,0.00209272250725 0.199649912701 3.08819185762
1574703711392278576,-0.00256272975046 0.201274888801 3.08786222935
1574703711402387584,-0.00707154463151 0.203097340407 3.08744562115
1574703711412517084,-0.0113600089634 0.205162153754 3.08686784841
1574703711422625016,-0.0153402308489 0.207435941531 3.08618530366
1574703711422625016,-0.0153402308489 0.207435941531 3.08618530366
1574703711432730050,-0.019029955102 0.20987062267 3.08541394434
1574703711442835989,-0.0255847901339 0.215006032514 3.08358269392
1574703711452951219,-0.0255847901339 0.215006032514 3.08358269392
1574703711463058064,-0.0285004764563 0.217701680842 3.0825014596
1574703711473162584,-0.0312328420046 0.220508463662 3.08128528263
1574703711483267524,-0.0338436599829 0.223367314144 3.08005864206
1574703711493337990,-0.0364178326533 0.226201762818 3.07879547097
1574703711503448103,-0.038957079518 0.228964791243 3.07747889797
1574703711513518912,-0.041466250532 0.231659411809 3.07604609134
1574703711523615726,-0.0462643303484 0.236946033387 3.07310168382
1574703711533720404,-0.0462643303484 0.236946033387 3.07310168382
1574703711543813516,-0.050355618302 0.242091073472 3.07011157883
1574703711553968609,-0.050355618302 0.242091073472 3.07011157883
1574703711564076075,-0.0539797972254 0.246960984497 3.06719866792
1574703711574183644,-0.0539797972254 0.246960984497 3.06719866792
1574703711584290387,-0.0575718328032 0.251423133437 3.06433992721
1574703711594395328,-0.0575718328032 0.251423133437 3.06433992721
1574703711604499981,-0.0593921828944 0.253537534613 3.06293628063
1574703711614607273,-0.0630456994698 0.257652662089 3.06014295208
1574703711624714370,-0.0630456994698 0.257652662089 3.06014295208
1574703711634822488,-0.0664381111767 0.261686601337 3.05724326558
1574703711644888084,-0.0664381111767 0.261686601337 3.05724326558
1574703711654995136,-0.0697894962157 0.265526745695 3.05435354839
1574703711665099999,-0.0697894962157 0.265526745695 3.05435354839
1574703711675217103,-0.0733726009075 0.269259821171 3.05138660031
1574703711685322706,-0.0733726009075 0.269259821171 3.05138660031
1574703711695428163,-0.0774018560872 0.272987188126 3.04845076426
1574703711705532460,-0.0774018560872 0.272987188126 3.04845076426
1574703711715640059,-0.0812372423741 0.276510114455 3.04566455915
1574703711725709194,-0.0812372423741 0.276510114455 3.04566455915
1574703711735813476,-0.0829675420049 0.278087701019 3.04438985597
1574703711745970606,-0.0857174197503 0.280925176987 3.04209711908
1574703711756080843,-0.0857174197503 0.280925176987 3.04209711908
1574703711766178218,-0.0874124957238 0.283360260243 3.04009560349
1574703711776284201,-0.0874124957238 0.283360260243 3.04009560349
1574703711786391858,-0.0880032706379 0.285143272308 3.03851543588
1574703711796512525,-0.0880032706379 0.285143272308 3.03851543588
1574703711806733803,-0.0874201268548 0.286365722695 3.03720424602
1574703711816842516,-0.0868899157 0.28676027756 3.03672293494
1574703711826958466,-0.0863097965604 0.287058662193 3.0363357654
1574703711837074045,-0.0857498741923 0.287310965674 3.03599571898
1574703711847182074,-0.0857498741923 0.287310965674 3.03599571898
1574703711857384941,-0.0849662231344 0.287633277222 3.03551518475
1574703711867490689,-0.0849662231344 0.287633277222 3.03551518475
1574703711877552975,-0.0845687589949 0.287478795047 3.03503839822
1574703711887658788,-0.0845687589949 0.287478795047 3.03503839822
1574703711897721963,-0.0846108366784 0.286687717252 3.0346750573
1574703711907830242,-0.0846108366784 0.286687717252 3.0346750573
1574703711917942068,-0.0847733441994 0.285625666389 3.03431448267
1574703711928015128,-0.0847733441994 0.285625666389 3.03431448267
1574703711938088322,-0.0848332838189 0.284839422646 3.03398780061
1574703711948195033,-0.0848332838189 0.284839422646 3.03398780061
1574703711958292417,-0.0848434614094 0.284112881447 3.03377727014
1574703711968397031,-0.0848434614094 0.284112881447 3.03377727014
1574703711978501348,-0.0852805755363 0.282858652069 3.0337332412
1574703711988621569,-0.0852805755363 0.282858652069 3.0337332412
1574703711998734397,-0.0861556753395 0.28078596414 3.0337962167
1574703712008801262,-0.0865463408702 0.279487910254 3.03374842483
1574703712018909070,-0.0869031899361 0.278085091936 3.03370887784
1574703712029041477,-0.0872592117837 0.27665318213 3.03366141144
1574703712039111601,-0.0876081298878 0.275269045335 3.03357748894
1574703712049219443,-0.0879593027139 0.274023112245 3.03349800755
1574703712059324121,-0.0883763118314 0.272959375539 3.03338627707
1574703712069431794,-0.0888957966265 0.272055290974 3.03323708002
1574703712079505860,-0.0895536678426 0.271249188436 3.03307927639
1574703712089610496,-0.0902730566133 0.270504761405 3.03286368666
1574703712099684695,-0.0909319727508 0.269818085975 3.03259764805
1574703712109771656,-0.0914905127981 0.26922571366 3.03225367076
1574703712119846715,-0.0919412490098 0.268773095088 3.03191219098
1574703712129955459,-0.0923437335003 0.26846930814 3.03155610293
1574703712140061350,-0.0927081886863 0.268280007543 3.03114941237
1574703712150129562,-0.0929426804853 0.268154465919 3.03077553558
1574703712160255101,-0.09301873381 0.268065583463 3.03037705655
1574703712170344082,-0.0927526743343 0.267745900744 3.02958976214
1574703712180466182,-0.0927526743343 0.267745900744 3.02958976214
1574703712190559984,-0.0924317797136 0.26668455093 3.02897770527
1574703712200660920,-0.0924317797136 0.26668455093 3.02897770527
1574703712210768007,-0.092794513284 0.264764517955 3.02841390576
