%time,field.data
1574704461784074756,0.0784818915232 -0.132927814026 3.10956526398
1574704461784074756,0.0784818915232 -0.132927814026 3.10956526398
1574704461794177624,0.0784818915232 -0.132927814026 3.10956526398
1574704461804289200,0.0789842281156 -0.128365080655 3.1006654835
1574704461814359199,0.0789842281156 -0.128365080655 3.1006654835
1574704461824425781,0.0798875902091 -0.124413980175 3.09344652937
1574704461834525734,0.0798875902091 -0.124413980175 3.09344652937
1574704461844636571,0.0812896170466 -0.120798763056 3.08767577526
1574704461854706320,0.0812896170466 -0.120798763056 3.08767577526
1574704461864792902,0.0817886833466 -0.115659127714 3.08242548436
1574704461874860314,0.0817886833466 -0.115659127714 3.08242548436
1574704461884927202,0.0809399439739 -0.109301969302 3.07691975883
1574704461895053779,0.0806411800143 -0.106745731949 3.07423505442
1574704461905161188,0.080817130366 -0.105163177444 3.07167513704
1574704461915210888,0.0817262714989 -0.104705928091 3.06921546658
1574704461925284026,0.083522070938 -0.105241676821 3.06684826623
1574704461935353783,0.083522070938 -0.105241676821 3.06684826623
1574704461945460271,0.0891944093658 -0.107642165131 3.06250135806
1574704461955569045,0.0925051755965 -0.108478974781 3.06053917212
1574704461965673856,0.0956836515076 -0.108456160476 3.05874594013
1574704461975770513,0.100616726653 -0.105111160019 3.05580121747
1574704461985877148,0.100616726653 -0.105111160019 3.05580121747
1574704461995984448,0.10226592965 -0.101893826315 3.05462449235
1574704462006096440,0.103306714233 -0.0979399896133 3.05361649896
1574704462016201983,0.104145306035 -0.0890761643888 3.05216104669
1574704462026285797,0.104145306035 -0.0890761643888 3.05216104669
1574704462036502043,0.104084371266 -0.0803659083158 3.05123942366
1574704462046594722,0.104084371266 -0.0803659083158 3.05123942366
1574704462056662047,0.103384597118 -0.0722833483428 3.05066545837
1574704462066772644,0.103384597118 -0.0722833483428 3.05066545837
1574704462076879565,0.101533650032 -0.0642748222222 3.05045525714
1574704462086949770,0.101533650032 -0.0642748222222 3.05045525714
1574704462097020497,0.101533650032 -0.0642748222222 3.05045525714
1574704462107090846,0.098352751148 -0.0558427890116 3.05079289078
1574704462117210722,0.098352751148 -0.0558427890116 3.05079289078
1574704462127322330,0.0942805418376 -0.0469314025985 3.05151853893
1574704462137442799,0.0919963777383 -0.0424110185404 3.05195083076
1574704462147554177,0.0895708331769 -0.037928979627 3.05244862465
1574704462147554177,0.0895708331769 -0.037928979627 3.05244862465
1574704462157665506,0.0869782072874 -0.0335114444736 3.05304292731
1574704462167782028,0.0841817740295 -0.0291541978815 3.05367476127
1574704462177881679,0.0811707558686 -0.0248371388037 3.05436561215
1574704462187986405,0.0778959283948 -0.0206428754724 3.0551201793
