%time,field.data
1574703257593484966,-0.0484524028595 0.11804393651 3.07250462927
1574703257603623745,-0.0503215124729 0.119856923469 3.07184415398
1574703257613711717,-0.0519847018816 0.121870015911 3.07102208107
1574703257623833955,-0.0534145096913 0.124136600331 3.07023597125
1574703257633964203,-0.0546704425982 0.126643131916 3.06946327169
1574703257644196278,-0.0558040218901 0.129345372401 3.06864409642
1574703257654304074,-0.0568430245374 0.132207804431 3.06769744375
1574703257664408625,-0.0578831647696 0.135201295953 3.06681258584
1574703257674509144,-0.059002191892 0.138251189105 3.06590484804
1574703257684593355,-0.0601512690215 0.141310550045 3.06490520089
1574703257694700589,-0.0601512690215 0.141310550045 3.06490520089
1574703257704805156,-0.0624416385955 0.14717335408 3.06310409698
1574703257714910609,-0.0624416385955 0.14717335408 3.06310409698
1574703257725016683,-0.0645268287579 0.15230319492 3.06115805072
1574703257735122612,-0.0645268287579 0.15230319492 3.06115805072
1574703257745230281,-0.066277111838 0.156568997382 3.05940990617
1574703257755337407,-0.066277111838 0.156568997382 3.05940990617
1574703257765445232,-0.0682679101521 0.159674061613 3.05762785955
1574703257775564018,-0.0682679101521 0.159674061613 3.05762785955
1574703257785651758,-0.0707353622691 0.161448583191 3.05591303484
1574703257795723038,-0.0707353622691 0.161448583191 3.05591303484
1574703257805822949,-0.073255241555 0.162223972886 3.05430718633
1574703257815928130,-0.0745977590235 0.162494380906 3.05346894859
1574703257826056787,-0.0758916603442 0.162700670755 3.05270251012
1574703257836162305,-0.0771361062806 0.162868212738 3.05198467705
1574703257846372945,-0.0783026396379 0.163000879727 3.05126218028
1574703257856483359,-0.0800040816136 0.163195767891 3.04975421385
1574703257866585188,-0.0800040816136 0.163195767891 3.04975421385
1574703257876691855,-0.0800040816136 0.163195767891 3.04975421385
1574703257886815667,-0.0810019342239 0.163103250102 3.04838862859
1574703257896903059,-0.0810019342239 0.163103250102 3.04838862859
1574703257907016763,-0.0815894535731 0.162176073445 3.04720204145
1574703257917105117,-0.0815894535731 0.162176073445 3.04720204145
1574703257927215581,-0.0819860510564 0.16033351635 3.04616529899
1574703257937319240,-0.082233919801 0.159203267328 3.04569343106
1574703257947424966,-0.0824767847771 0.158012134193 3.04520728467
1574703257957530767,-0.0825849554206 0.156791811104 3.04465668261
1574703257967651898,-0.0825515944189 0.155553586111 3.044147483
1574703257977725181,-0.0824318614383 0.154297480816 3.04360685988
1574703257987808811,-0.0822695543916 0.153066947501 3.04298435317
1574703257997996309,-0.0822894313765 0.15071852528 3.0419425831
1574703258008121978,-0.0822894313765 0.15071852528 3.0419425831
1574703258018226363,-0.0830738503816 0.148780540513 3.04089070187
1574703258028298582,-0.0830738503816 0.148780540513 3.04089070187
1574703258038392020,-0.0849246683849 0.146707781362 3.03998951639
1574703258048498779,-0.0849246683849 0.146707781362 3.03998951639
1574703258058600732,-0.0871674435998 0.14380392483 3.03915468097
1574703258068710070,-0.0871674435998 0.14380392483 3.03915468097
1574703258078817813,-0.0889364310187 0.140311453123 3.03823550751
1574703258088924189,-0.0889364310187 0.140311453123 3.03823550751
1574703258098991574,-0.0896621157426 0.138645339802 3.03773442242
1574703258109111581,-0.0903314321348 0.137175996547 3.03724752348
1574703258119221448,-0.0910638048735 0.135911441776 3.03674487775
1574703258129353052,-0.0918885763366 0.134840735344 3.03629642827
1574703258139417268,-0.0927024812886 0.133929605068 3.03583645139
1574703258149521721,-0.0934877625267 0.133126879805 3.03539538052
1574703258159642335,-0.0942254351595 0.132407035318 3.03484094312
1574703258169712673,-0.0953114203081 0.131103818329 3.03390680487
1574703258179819562,-0.0953114203081 0.131103818329 3.03390680487
1574703258189924730,-0.0955470100217 0.130473554041 3.03348894309
1574703258200044427,-0.0956705112955 0.129901544551 3.03316640927
1574703258210163888,-0.0954272542968 0.128739033222 3.03248763882
1574703258220284951,-0.0954272542968 0.128739033222 3.03248763882
1574703258230392741,-0.0947489801908 0.127545170095 3.03183412131
1574703258240482398,-0.0947489801908 0.127545170095 3.03183412131
1574703258250553627,-0.093764458997 0.126613255893 3.03128700749
1574703258260623895,-0.093764458997 0.126613255893 3.03128700749
1574703258270697149,-0.0932078237962 0.126271151799 3.03108330916
1574703258280802251,-0.0925997160086 0.126009239156 3.03083298449
1574703258290868450,-0.0919874425955 0.125819822269 3.03055565883
1574703258300976463,-0.0913903131883 0.125647786952 3.03036000919
1574703258311096992,-0.0908257520229 0.125498636989 3.03019978473
