%time,field.data
1574705051965645953,-0.0514254673356 0.241195149022 3.08627797888
1574705051965645953,-0.0514254673356 0.241195149022 3.08627797888
1574705051975747188,-0.0528607526664 0.243180239953 3.08436597941
1574705051985855276,-0.05369382381 0.245006268541 3.08245665889
1574705051995922448,-0.05369382381 0.245006268541 3.08245665889
1574705052006034794,-0.0538906777466 0.246380876499 3.08054335919
1574705052016130269,-0.0538906777466 0.246380876499 3.08054335919
1574705052026254399,-0.0536104079516 0.247076306598 3.07852686858
1574705052036325351,-0.0536104079516 0.247076306598 3.07852686858
1574705052046431779,-0.0533163258828 0.246831018583 3.07658737775
1574705052056552688,-0.0533163258828 0.246831018583 3.07658737775
1574705052066674179,-0.0532081305598 0.245907840474 3.07475420282
1574705052076764263,-0.0532081305598 0.245907840474 3.07475420282
1574705052086834995,-0.0533744519998 0.244704848653 3.07288573512
1574705052096939565,-0.0533744519998 0.244704848653 3.07288573512
1574705052107051640,-0.0535650129401 0.244093642007 3.07185635523
1574705052117158169,-0.0538772389284 0.243514518141 3.07077305714
1574705052127223463,-0.0543243738018 0.242987434953 3.06966936617
1574705052137360245,-0.0548523846093 0.242559892138 3.06852053943
1574705052147426994,-0.0560807178805 0.242276667058 3.06616862112
1574705052157544374,-0.0560807178805 0.242276667058 3.06616862112
1574705052167668967,-0.056845879888 0.242391269633 3.06499791786
1574705052177741108,-0.057642696823 0.242588615929 3.06377474229
1574705052187843616,-0.0593578208781 0.242966022723 3.06126173467
1574705052197949097,-0.0593578208781 0.242966022723 3.06126173467
1574705052208016272,-0.0614628014945 0.24331831688 3.05877788825
1574705052218084227,-0.0614628014945 0.24331831688 3.05877788825
1574705052228154127,-0.0639851764661 0.243636112306 3.05639169364
1574705052238238419,-0.0639851764661 0.243636112306 3.05639169364
1574705052248356419,-0.0664251685812 0.243775678222 3.05402344236
1574705052258430084,-0.0664251685812 0.243775678222 3.05402344236
1574705052268539297,-0.0682124760137 0.243796025959 3.05158721544
1574705052278665087,-0.0682124760137 0.243796025959 3.05158721544
1574705052288787395,-0.0692162555067 0.243963238411 3.04934708063
1574705052298892553,-0.0692162555067 0.243963238411 3.04934708063
1574705052309069253,-0.0696735174347 0.244220167289 3.04703057177
1574705052319185566,-0.0696735174347 0.244220167289 3.04703057177
1574705052329294539,-0.0703329112534 0.244378115871 3.04476339236
1574705052339401738,-0.0703329112534 0.244378115871 3.04476339236
1574705052349501080,-0.0712651233587 0.244457075854 3.04256871976
1574705052359588583,-0.0712651233587 0.244457075854 3.04256871976
1574705052369695704,-0.0721858410393 0.244980858557 3.04037942975
1574705052379783722,-0.0721858410393 0.244980858557 3.04037942975
1574705052389868719,-0.0725010241482 0.246488735499 3.03831361752
1574705052399935619,-0.0725010241482 0.246488735499 3.03831361752
1574705052410024928,-0.0720955356564 0.248692635707 3.036315865
1574705052420111303,-0.0720955356564 0.248692635707 3.036315865
1574705052430205839,-0.0711778093198 0.251213869918 3.03428076254
1574705052440313098,-0.0711778093198 0.251213869918 3.03428076254
1574705052450344465,-0.0697476321572 0.253505317239 3.03225561818
1574705052460414030,-0.0697476321572 0.253505317239 3.03225561818
1574705052470479500,-0.0682362858247 0.254899001857 3.0303214912
1574705052480585019,-0.0675591598657 0.255152862815 3.02932851376
1574705052490693971,-0.0669492217827 0.255169244411 3.02834476503
1574705052500801122,-0.0664392432017 0.255024414774 3.02737418758
1574705052510905925,-0.0659856872955 0.25476409017 3.02643553116
1574705052521013960,-0.0656267696729 0.254510347699 3.02547918214
1574705052531121422,-0.0653249895797 0.254378604578 3.02450287286
1574705052541233475,-0.0651375427031 0.254422741828 3.02348232523
1574705052551340949,-0.065022505717 0.254663285567 3.02244710441
1574705052561452377,-0.0648872682875 0.255103857853 3.02142994801
1574705052571570036,-0.0647459077426 0.255675057756 3.02037015919
1574705052581685410,-0.0647102724149 0.256403951329 3.01830989045
1574705052591811760,-0.0647102724149 0.256403951329 3.01830989045
1574705052601946451,-0.0649910038967 0.256552331992 3.01669789279
1574705052612041927,-0.0649910038967 0.256552331992 3.01669789279
1574705052622128652,-0.0649910038967 0.256552331992 3.01669789279
1574705052632219051,-0.0652255532562 0.256053290149 3.01531590185
1574705052642327110,-0.0652255532562 0.256053290149 3.01531590185
1574705052652414316,-0.0652077879158 0.255341276993 3.01437183976
1574705052662480187,-0.064861247927 0.255065140652 3.0139931532
1574705052672602542,-0.064195078038 0.254981583051 3.01359215058
1574705052682715963,-0.064195078038 0.254981583051 3.01359215058
1574705052692787503,-0.0622350001912 0.255861639449 3.01280481317
1574705052702865052,-0.0611757758888 0.256863855367 3.01245027597
1574705052712932448,-0.0601871059954 0.258177321318 3.01205259437
1574705052722997995,-0.0593699705523 0.259742656095 3.01160439132
1574705052733109310,-0.0587308128089 0.261446652897 3.0111814866
1574705052743218112,-0.0587308128089 0.261446652897 3.0111814866
1574705052753325425,-0.0577475211098 0.264738093754 3.01067611996
1574705052763438550,-0.0577475211098 0.264738093754 3.01067611996
1574705052773548958,-0.056889550673 0.267628766475 3.01035367611
1574705052783620685,-0.0559689537201 0.270375160737 3.01027451477
1574705052793685629,-0.0559689537201 0.270375160737 3.01027451477
1574705052803803188,-0.0544158582807 0.273049654121 3.01040377751
1574705052813876448,-0.0544158582807 0.273049654121 3.01040377751
1574705052823957750,-0.0525172680569 0.275709322889 3.01066402458
1574705052834071450,-0.0525172680569 0.275709322889 3.01066402458
1574705052844140573,-0.051568054246 0.276919215753 3.01086197221
1574705052854262265,-0.0507054999756 0.278037226257 3.0111466981
1574705052864390396,-0.0500339431051 0.279052959011 3.01153872114
1574705052874516515,-0.0495840226833 0.279907449895 3.01201706272
1574705052884637883,-0.0492896135644 0.280605426057 3.01253801579
1574705052894743682,-0.0490718161026 0.281156839666 3.01312899504
1574705052904857209,-0.0489056929269 0.281519608743 3.01383003393
1574705052914970419,-0.0487373375412 0.281696100307 3.01462650474
1574705052925077980,-0.0487373375412 0.281696100307 3.01462650474
1574705052935143068,-0.0485665939091 0.281604458688 3.01733824896
1574705052945244330,-0.0485665939091 0.281604458688 3.01733824896
1574705052955348118,-0.0487905682141 0.281390100143 3.01847403313
1574705052965459910,-0.049050857449 0.281105547909 3.01977719311
1574705052975721919,-0.0492663482604 0.280752921377 3.02118511004
1574705052975721919,-0.0492663482604 0.280752921377 3.02118511004
1574705052985839658,-0.0494233340583 0.280288437306 3.02269507456
1574705052995909993,-0.0496375694856 0.279758615666 3.02430804673
1574705053005973490,-0.0498160944021 0.279186038638 3.02605328514
1574705053016073983,-0.0498681441722 0.278652609582 3.0278830526
1574705053026137840,-0.0496993455686 0.278245958633 3.02979017412
1574705053036202014,-0.0493630663299 0.278010132518 3.03174571795
1574705053046267984,-0.0493630663299 0.278010132518 3.03174571795
1574705053056334754,-0.048067862079 0.278395843525 3.03808617438
1574705053066403718,-0.048067862079 0.278395843525 3.03808617438
1574705053076514140,-0.047541571328 0.278852739055 3.04038879108
1574705053086625245,-0.0461372318666 0.280364650382 3.04517023516
1574705053096695014,-0.0461372318666 0.280364650382 3.04517023516
1574705053106808680,-0.0447388087535 0.282759305363 3.05010112739
1574705053116926552,-0.0447388087535 0.282759305363 3.05010112739
1574705053127039497,-0.0441142247213 0.285806937286 3.05535013148
1574705053137200695,-0.0441142247213 0.285806937286 3.05535013148
1574705053147267447,-0.0447591197807 0.288734815732 3.06068993069
1574705053157378678,-0.0447591197807 0.288734815732 3.06068993069
1574705053167503125,-0.0458061082323 0.290942793038 3.06579903114
1574705053177574004,-0.0458061082323 0.290942793038 3.06579903114
1574705053187697157,-0.045876842469 0.29227754332 3.07071538481
1574705053197913315,-0.045876842469 0.29227754332 3.07071538481
1574705053207987560,-0.0440194471884 0.292898618654 3.07550020922
1574705053218059567,-0.0440194471884 0.292898618654 3.07550020922
1574705053228167753,-0.040574969579 0.292285639261 3.08001705521
1574705053238275541,-0.040574969579 0.292285639261 3.08001705521
