c = 0.0183822,i = 181
c = 0.0190351,i = 220
c = 0.0201989,i = 219
c = 0.0204275,i = 160
c = 0.0205124,i = 232
c = 0.0210202,i = 165
c = 0.0212165,i = 217
c = 0.022026,i = 223
c = 0.0223395,i = 209
c = 0.0225393,i = 176
c = 0.0235776,i = 203
c = 0.0247103,i = 225
c = 0.0269026,i = 216
c = 0.0270845,i = 168
c = 0.0270933,i = 231
c = 0.0278904,i = 154
c = 0.0281641,i = 156
c = 0.0308483,i = 228
c = 0.0324438,i = 234
c = 0.033477,i = 145
c = 0.0359243,i = 161
c = 0.0362565,i = 164
c = 0.0363627,i = 222
c = 0.0365273,i = 224
c = 0.0366741,i = 204
c = 0.0369382,i = 237
c = 0.0373209,i = 162
c = 0.0388334,i = 163
c = 0.0400862,i = 157
c = 0.0471814,i = 159
c = 0.0475911,i = 206
c = 0.0494614,i = 153
c = 0.0509098,i = 158
c = 0.0515398,i = 148
c = 0.0544643,i = 146
c = 0.0554451,i = 150
c = 0.071787,i = 147
c = 0.0757013,i = 152
c = 0.0816005,i = 151
c = 0.135518,i = 221
