%time,field.data
1574700860330775298,0.06432352572147236 0.2500928798725355 -2.5609861993463414
1574700860411673887,0.08090323150714561 0.2587147595638881 -2.5682782395013444
1574700860492421118,0.09302316239695267 0.26783850111059254 -2.575789085869778
1574700860573185460,0.10560432055616932 0.2777604008450573 -2.5864000443134065
1574700860653955653,0.11253539414462552 0.28361064314994344 -2.595896280386515
1574700860734778376,0.11290770807221065 0.2887657100228999 -2.6025285444492785
1574700860815753259,0.1071139827061898 0.2857029834273948 -2.605486030404639
1574700860896610686,0.10805061349768481 0.28434137503656 -2.6038591468186865
1574700860977362587,0.11130954478642027 0.2828766100909647 -2.5980288452778537
1574700861058181152,0.1193462553925643 0.2779207256195246 -2.5905453231829734
1574700861128821717,0.1313902498399705 0.2718590253026355 -2.5810653342384473
1574700861209646326,0.1448201827454227 0.26644253422255 -2.569440378330184
1574700861290455848,0.15006031496862396 0.25973102681243165 -2.5582239212622557
1574700861371354793,0.1537260605613839 0.25214175054695126 -2.546035592816034
1574700861452261402,0.157582288826067 0.24249784228708407 -2.536971344143065
1574700861533076412,0.16733133163402297 0.23437471170140114 -2.5300800970787933
1574700861613923793,0.17555460985517798 0.22473601830707712 -2.5269280505854512
1574700861694745276,0.18213232220697034 0.21368268352128203 -2.5275429490768877
1574700861775640950,0.19062778870671462 0.20672266561989777 -2.5311361722305534
1574700861856613066,0.19728385458457295 0.2035032134649596 -2.535987120779682
1574700861927335248,0.20432775636009715 0.20502829827923572 -2.5425631974063156
1574700862008220633,0.21352114597538535 0.20688545428432994 -2.549405534993686
1574700862088977956,0.21484904907829533 0.20991255755561816 -2.5542148176318817
1574700862169865340,0.20630990672090582 0.20945715598518072 -2.5563036047824674
1574700862250692824,0.19680980842032866 0.21002562808660463 -2.557255015916781
1574700862331585820,0.19253726930063905 0.21146152352740824 -2.556397782770144
1574700862412426036,0.19087949728379858 0.2179394013951158 -2.553721697520696
1574700862493239645,0.18836466743345676 0.22123316970226517 -2.550668511548653
1574700862574110828,0.18440663813707878 0.22842790423339293 -2.5476693367652534
1574700862654948375,0.18179973045241943 0.23191641782040495 -2.546261754029894
1574700862735759600,0.1813051501523197 0.23512711078637144 -2.5454104399334017
1574700862806446702,0.1798431106519032 0.23426291163624405 -2.5451520366015985
1574700862887371588,0.1778026444345176 0.21436486666545965 -2.550248375822
1574700862968208971,0.17680664692732695 0.18431186894201912 -2.5577488632810703
1574700863051674767,0.17157377010863986 0.14726289556369293 -2.565027644288812
1574700863132421353,0.1623652192276269 0.11457490639840535 -2.568478997833517
1574700863213184649,0.15146388041275952 0.0851530419346272 -2.5687166613482444
1574700863294081520,0.1454881936180678 0.046535021859633 -2.5705932823941984
1574700863364855992,0.1305161591943461 0.01715925086731832 -2.572692115258093
1574700863445621514,0.11637669224242923 0.0004180864715829493 -2.57349341437223
1574700863526379325,0.10863568171123848 -0.014613883815920973 -2.573261923169064
1574700863607282892,0.10993031815807805 -0.021805982972614005 -2.572108051907516
1574700863688133810,0.10299306628245497 -0.02317031959603753 -2.570914947922148
1574700863768922920,0.09336824813832297 -0.022464067596019866 -2.570047220702441
1574700863849808420,0.08866525430151902 -0.02342764022631376 -2.56961078472022
1574700863930605736,0.08214944593351182 -0.020955903806025033 -2.5688775003590285
1574700864011440925,0.07061333391662832 -0.02062002450241074 -2.568217972820336
1574700864092112753,0.0582547158198172 -0.018303692364680782 -2.5669411712007966
1574700864173034893,0.05113255816162073 -0.017653668772974758 -2.5633570909409937
