%time,field.data
1574701855799739348,0.09114393605369979 0.4357015197014266 3.0935292491596855
1574701855880592022,0.10721265867491712 0.4472717003522404 3.103560080544651
1574701855961316496,0.13161323842732017 0.4464560011330025 3.10961692300859
1574701856042167988,0.13512046527693558 0.42596597408281794 3.1088708420956688
1574701856123074196,0.13068935866599288 0.3885288039194151 3.101792615330685
1574701856203876811,0.13271912615141404 0.33817927129848857 3.0907227696751267
1574701856284709640,0.1430304835853577 0.27934843639125656 3.077858200271924
1574701856365481646,0.1655999504894041 0.23901304690311712 3.0686212006624363
1574701856446401094,0.19963356684287692 0.1976894072817586 3.0587419341388533
1574701856517206144,0.23019150146734427 0.16780651437952912 3.0521523348792146
1574701856597990693,0.25071913666183876 0.14601391378363615 3.048155002157666
1574701856678845153,0.26770145267985607 0.12277417654375332 3.0441527915257183
1574701856759622601,0.2863788407668687 0.09439079370193314 3.0393345644896197
1574701856840398702,0.3052211183850486 0.07633397902807891 3.0368098443808464
1574701856921212141,0.32108953197993356 0.054020804174798195 3.0340525716881026
1574701857001953958,0.33184006507349295 0.025056248407018915 3.031752869311741
1574701857082641484,0.33839186931718523 -0.003235201766316081 3.0300407558067572
1574701857163459015,0.3406054118422589 -0.03511378474959629 3.0284794253862395
1574701857244317570,0.3338776626651699 -0.059363922353813645 3.030103684867485
1574701857325009144,0.31705963926988223 -0.08142740690868291 3.031936899241366
1574701857405763424,0.3123028166925123 -0.10273265572214767 3.0332211327859433
1574701857486529672,0.31400216181431395 -0.12648225399437268 3.03317840127955
1574701857567279745,0.3101944936762808 -0.15332734918907073 3.0318171136057193
1574701857648085141,0.2929765207169887 -0.17287239473850782 3.0341234264163117
1574701857728945861,0.2610973603967919 -0.19691631706111057 3.0362400609066036
1574701857799653968,0.2370134765792667 -0.21081446990210226 3.037889081318996
1574701857880545472,0.20906826480278068 -0.22333573749728972 3.039473428566121
1574701857961361034,0.20116681592687877 -0.23566791524130928 3.0393188570919025
1574701858042240779,0.183260879851681 -0.24983141918210416 3.039901150511634
1574701858122983492,0.1610503582251877 -0.2629585097662413 3.040423382983581
1574701858203677430,0.13379236458570223 -0.2747396765647888 3.0418457703099957
1574701858284361884,0.10661405965987257 -0.28698609274863923 3.0453920845469487
1574701858365157144,0.08203131461087267 -0.2945931579648112 3.049706840140747
1574701858445885887,0.05845303396492334 -0.29427727191247316 3.0514405264823012
1574701858526582516,0.033064013255434614 -0.29692764925043225 3.0492860755148885
1574701858607184409,0.00998004207858687 -0.2994301400896897 3.043214126138894
1574701858687954072,-0.003038320232858631 -0.3081777626863711 3.038182240858442
1574701858768719304,-0.02125536500993785 -0.31672368109839777 3.0360741904660546
1574701858849514590,-0.04337444335767996 -0.31734114104253525 3.0381876141434625
1574701858920106839,-0.05434509417430924 -0.31689415156304956 3.0442879417500945
1574701859010959507,-0.06141756166861436 -0.30558682284882965 3.051056577586847
1574701859081590959,-0.07877489624196904 -0.28387141848267977 3.0565454756685297
1574701859162554759,-0.0878461091085811 -0.26764830410003393 3.0618113786378016
1574701859243427009,-0.09466923503823034 -0.2502506490204667 3.0676002965790747
1574701859324212571,-0.1081326953746964 -0.24917609966374046 3.0788617298557726
1574701859404937042,-0.12071457101369464 -0.251798759052176 3.087705147701925
1574701859485829129,-0.12861216876741796 -0.2471809730918121 3.089974960157663
1574701859566622457,-0.14013524076249817 -0.2350016066001722 3.088236814701917
1574701859647365404,-0.14751047564508785 -0.2125784328235235 3.083856344304264
1574701859728174242,-0.151158868432641 -0.17813032267956844 3.0773333490416075
1574701859819247190,-0.14739125108594092 -0.13423097216743654 3.0693413393473885
1574701859889944002,-0.14212667289707445 -0.10122245214615443 3.064061681344978
1574701859960492849,-0.13735337468694983 -0.06531847076815213 3.0601749655644714
1574701860041216682,-0.13360082795235811 -0.035322771539020546 3.058583117926871
1574701860132105833,-0.13202494150496405 -0.009263436964668631 3.0573278414558542
1574701860202821208,-0.1322327368855971 0.023885442465908277 3.054930941623087
1574701860283564627,-0.1352025010489445 0.044921699015185404 3.0532317341193727
1574701860364373287,-0.13464595444809813 0.06040185874568696 3.0508528088670057
1574701860445081556,-0.12923688259161886 0.07292679679166958 3.050164092754737
1574701860525870451,-0.12415325773089568 0.08667765577891946 3.048176977021068
1574701860606715658,-0.11522373061830365 0.09219882704206075 3.047243164405458
1574701860687570470,-0.10642311099388627 0.09478768213084987 3.046391097544169
1574701860768399062,-0.08926891443638736 0.10617738724667034 3.0436941488948372
1574701860849170090,-0.07806471584605125 0.11810405821529989 3.0404591663468623
1574701860930012811,-0.07043952339938657 0.1278049154793228 3.0392732294918465
1574701861010701703,-0.05125407713287247 0.1338215404519107 3.0419479404942127
1574701861092092104,-0.03428902489375576 0.1297128752558431 3.045739758049369
1574701861162801821,-0.020996645330457087 0.12834461320153437 3.049113037152641
1574701861243630571,-0.01596176432252697 0.13126002712196638 3.051714203701595
1574701861324379497,-0.010581313721743707 0.13622283434817836 3.0529923294972368
1574701861405228674,-0.002172223476687875 0.14217683646273807 3.053785600337103
1574701861485841470,0.011884145178910274 0.14314883323236693 3.0548464328344593
1574701861566949895,0.027511325560824015 0.1416342656133854 3.0561995240365154
1574701861647759612,0.04146233094381166 0.1380269788480032 3.0591975036401897
1574701861728482726,0.056627068132338435 0.13096781149766307 3.0628454831072105
1574701861799113761,0.06814985274076801 0.12443111365029891 3.064743099772188
1574701861879997437,0.07927714992353994 0.11456378546658604 3.0642451259356926
1574701861960893036,0.08586747339969282 0.10546120994527351 3.0619021180945927
1574701862041696302,0.09258928116569513 0.10057957680578196 3.060058985647454
1574701862122521350,0.10193162746913094 0.09250914296674514 3.0575208291546105
1574701862203229401,0.1142500182571864 0.08286220879229012 3.0545466674796624
1574701862284203706,0.1264432190277941 0.0704953607469719 3.051944560007125
1574701862365071446,0.14009618795800752 0.05663259331681747 3.0502328482712593
1574701862445984558,0.15032009671016447 0.041841105643846126 3.0511651083316282
1574701862526866413,0.1540437063052097 0.02553648357589616 3.054387169754854
1574701862607666133,0.16206283514463335 0.009304128103028853 3.058630141869519
1574701862688526805,0.1698733769387236 -0.0013862965600345662 3.063429530818213
1574701862769191850,0.16437218173234597 -0.008537667281707557 3.0659817474269935
1574701862850052022,0.15261089292548355 -0.017603692377186685 3.0666409948436204
1574701862920753818,0.13950324441159762 -0.029495259298762774 3.064391493055234
1574701863001424407,0.13142597767041572 -0.039319222736888704 3.060662970473856
1574701863082156355,0.12301291299478088 -0.05256513936179434 3.0543779811351244
1574701863163054850,0.11364269470463778 -0.06619645424021325 3.0475914444349774
1574701863243923595,0.10866099291200436 -0.0756023451979482 3.041492966220033
1574701863324785617,0.10161357832123068 -0.08421016512164542 3.0341493767193026
1574701863405596149,0.09711808029687197 -0.09731862453387813 3.0283138262404847
1574701863486501817,0.09644921189887175 -0.10912890279877234 3.0263032723019325
1574701863567196150,0.09518674353187051 -0.1276148922510794 3.0262179383611936
1574701863648194076,0.09417980513964966 -0.14213457784576275 3.028182769582853
1574701863729043476,0.09213859947203111 -0.151713994464652 3.030686700543794
1574701863799782974,0.08564566275037641 -0.16468707836465568 3.033606678538258
