%time,field.data
1574704462982061233,-0.04495275496726818 0.2282775431237451 3.087451179648632
1574704463002254412,-0.045878858624366727 0.23055471457665885 3.08569285756635
1574704463022445808,-0.046832668124728735 0.232988329352687 3.083906536437235
1574704463042601566,-0.04778809157760927 0.23583251549761913 3.0821237819589955
1574704463062715466,-0.04864995967581866 0.2390873648631821 3.080399827308792
1574704463082884699,-0.0491209658740949 0.24245583162438325 3.0785908169373233
1574704463103027902,-0.04896997496015044 0.24572336750828083 3.0768050597729557
1574704463123211088,-0.04860325449038134 0.24890791335164705 3.0750268997535084
1574704463153474415,-0.04802355259918839 0.25543617477454594 3.071530432281252
1574704463163560214,-0.04802355259918839 0.25543617477454594 3.071530432281252
1574704463193824683,-0.04769083243678864 0.26110710978993484 3.068904552378543
1574704463203913032,-0.04756483002696185 0.2630767720088581 3.0679832001503065
1574704463234162646,-0.047139099255078774 0.26856412558736237 3.065209508381176
1574704463244216706,-0.04698223984026945 0.2702197988682145 3.0642520488263036
1574704463264374004,-0.04666553411547101 0.27336743003996733 3.062416225750104
1574704463294585840,-0.04615192715791273 0.27817230336978127 3.059770129268923
1574704463334935511,-0.04582049546950762 0.2851633984835419 3.0563331912947644
1574704463385350157,-0.04598558739956361 0.29172003606042324 3.0522720980486713
1574704463385350157,-0.04598558739956361 0.29172003606042324 3.0522720980486713
1574704463385350157,-0.04598558739956361 0.29172003606042324 3.0522720980486713
1574704463425676132,-0.04721406199172403 0.296753542602233 3.049054009925883
1574704463425676132,-0.04721406199172403 0.296753542602233 3.049054009925883
1574704463425676132,-0.04721406199172403 0.296753542602233 3.049054009925883
1574704463445845082,-0.04772485543523445 0.2994352045814996 3.047571440152255
1574704463466020950,-0.04799589624345467 0.301671464703243 3.0463187745196256
1574704463506374628,-0.047416834270705095 0.30535092199984437 3.0440879114391626
1574704463546677396,-0.044508747440932424 0.309941354115269 3.0421987021949226
1574704463546677396,-0.044508747440932424 0.309941354115269 3.0421987021949226
1574704463597084965,-0.03689142978098289 0.3147347032732164 3.040802083611554
1574704463597084965,-0.03689142978098289 0.3147347032732164 3.040802083611554
1574704463597084965,-0.03689142978098289 0.3147347032732164 3.040802083611554
1574704463637443656,-0.02852743873428358 0.3187967136526371 3.040634925419857
1574704463637443656,-0.02852743873428358 0.3187967136526371 3.040634925419857
1574704463647532154,-0.02852743873428358 0.3187967136526371 3.040634925419857
1574704463667695351,-0.024863707604073453 0.3211680771313805 3.0411382007937844
1574704463687909821,-0.021313752071073687 0.32368874815773074 3.0420431791040077
1574704463708099826,-0.018134603449896772 0.3256394115416475 3.0435786036063015
1574704463728269070,-0.015348697700785775 0.3265877350712237 3.0454128145409833
1574704463748411344,-0.013077848726055118 0.3261950851388972 3.0475434002571506
1574704463768593184,-0.011077534004807 0.3240469833473322 3.050096536122462
1574704463778650142,-0.009238412633949217 0.3201561290621538 3.0529482086897217
1574704463808917279,-0.007168945608833325 0.31472973812378036 3.056104101981352
1574704463819013384,-0.004475915950579666 0.30810160031824785 3.0594125656548026
1574704463869426800,0.0022328019847178276 0.2934861393328 3.0663413830774697
1574704463909732451,0.010729801497948993 0.2770340771341562 3.0735764290267573
1574704463909732451,0.010729801497948993 0.2770340771341562 3.0735764290267573
1574704463950010838,0.020352062207405656 0.25381379365114853 3.082316929230219
1574704463950010838,0.020352062207405656 0.25381379365114853 3.082316929230219
