%time,field.data
1574703257383985075,-0.014842910795546116 0.08922533062461238 3.078488740446292
1574703257404168998,-0.014569523361816812 0.09153672653672411 3.0790403574327736
1574703257424416669,-0.015669499850635593 0.09389390441874754 3.079326394206424
1574703257444673361,-0.018215330800847977 0.09575072676267768 3.079417301062217
1574703257495249759,-0.025598353497047217 0.09874063312243593 3.0782282590957966
1574703257535708724,-0.035324474661379904 0.10683910267388647 3.075868596461475
1574703257535708724,-0.035324474661379904 0.10683910267388647 3.075868596461475
1574703257566051201,-0.04184745990744968 0.11302388533033608 3.074224059993454
1574703257566051201,-0.04184745990744968 0.11302388533033608 3.074224059993454
1574703257566051201,-0.04184745990744968 0.11302388533033608 3.074224059993454
1574703257586284872,-0.04633883986457004 0.11633607605483712 3.073103224842594
1574703257606487690,-0.05032151247291666 0.11985692346939465 3.0718441539803116
1574703257626603020,-0.05341450969126784 0.12413660033084316 3.0702359712452716
1574703257646816558,-0.055804021890055976 0.12934537240077026 3.068644096415318
1574703257666995699,-0.05788316476961891 0.1352012959532613 3.0668125858409834
1574703257697275522,-0.060151269021463775 0.14131055004453702 3.0649052008942212
1574703257737712581,-0.06541696627593509 0.15456127658641736 3.0602692663801654
1574703257778133849,-0.06945525770216911 0.16071736634192874 3.056803853239531
1574703257778133849,-0.06945525770216911 0.16071736634192874 3.056803853239531
1574703257818600111,-0.07589166034420221 0.16270067075481578 3.0527025101200747
1574703257818600111,-0.07589166034420221 0.16270067075481578 3.0527025101200747
1574703257818600111,-0.07589166034420221 0.16270067075481578 3.0527025101200747
1574703257869101530,-0.08000408161356685 0.1631957678910633 3.049754213849401
1574703257869101530,-0.08000408161356685 0.1631957678910633 3.049754213849401
1574703257869101530,-0.08000408161356685 0.1631957678910633 3.049754213849401
1574703257889324981,-0.08100193422393853 0.16310325010225912 3.048388628587056
1574703257909539624,-0.08158945357310146 0.16217607344533583 3.047202041450175
1574703257929757220,-0.08198605105638797 0.16033351635031004 3.046165298985823
1574703257949977180,-0.08247678477708947 0.1580121341932862 3.0452072846669007
1574703257970180515,-0.0825515944189087 0.15555358611100445 3.0441474830038495
1574703257990399511,-0.0822695543915646 0.15306694750101538 3.0429843531678924
1574703258010585292,-0.08228943137646565 0.1507185252799466 3.041942583102626
1574703258050896219,-0.08608431873403942 0.1453820728119146 3.039539335964614
1574703258050896219,-0.08608431873403942 0.1453820728119146 3.039539335964614
1574703258101448331,-0.0896621157425721 0.13864533980197954 3.0377344224190455
1574703258101448331,-0.0896621157425721 0.13864533980197954 3.0377344224190455
1574703258131759954,-0.09188857633661215 0.1348407353435994 3.0362964282705684
1574703258131759954,-0.09188857633661215 0.1348407353435994 3.0362964282705684
1574703258151984083,-0.09348776252666537 0.13312687980494717 3.0353953805189384
1574703258192521717,-0.09554701002165408 0.1304735540410021 3.033488943093214
1574703258232926675,-0.09474898019077956 0.12754517009466607 3.0318341213088904
1574703258232926675,-0.09474898019077956 0.12754517009466607 3.0318341213088904
1574703258283462919,-0.09198744259551385 0.1258198222689647 3.0305556588258358
1574703258283462919,-0.09198744259551385 0.1258198222689647 3.0305556588258358
1574703258283462919,-0.09198744259551385 0.1258198222689647 3.0305556588258358
1574703258323885471,-0.08966140421616405 0.12519533262257437 3.0300078411217415
1574703258323885471,-0.08966140421616405 0.12519533262257437 3.0300078411217415
1574703258323885471,-0.08966140421616405 0.12519533262257437 3.0300078411217415
1574703258344082872,-0.0884660972259855 0.1249541639346798 3.029981761137838
1574703258364183705,-0.08713804100403932 0.12478376549741974 3.030051981096281
1574703258384454143,-0.08577945136102993 0.12476727268538353 3.030272022624607
1574703258404680435,-0.08428864923384286 0.12491439617262608 3.030673205828519
1574703258424844522,-0.08286263646910444 0.1251226281962491 3.030999443863879
1574703258445049944,-0.08118124434036124 0.12520246469333007 3.0315521476436316
1574703258465226640,-0.07920712083795352 0.12498279640714263 3.0321003800129227
1574703258485437173,-0.07724636036260599 0.12499146125093265 3.03279165979855
1574703258505661297,-0.07579193941049184 0.12571179605955313 3.033550854154975
