%time,field.data
1574705052756838598,-0.057747521109753445 0.26473809375359075 3.010676119957468
1574705052797226552,-0.05596895372007171 0.2703751607372628 3.010274514770309
1574705052837624483,-0.05251726805690009 0.27570932288930816 3.01066402457632
1574705052877985029,-0.049584022683299055 0.2799074498946653 3.012017062718724
1574705052908334082,-0.04873733754123511 0.2816961003072342 3.0146265047356726
1574705052948727930,-0.048790568214073564 0.2813901001431675 3.0184740331347784
1574705052989074594,-0.04963756948561325 0.27975861566568716 3.0243080467254018
1574705053029428045,-0.04936306632988491 0.2780101325184993 3.0317457179546348
1574705053069848845,-0.047541571328039364 0.2788527390549964 3.0403887910754968
1574705053120295260,-0.0447388087535198 0.282759305362607 3.0501011273885386
1574705053150578981,-0.044759119780656983 0.2887348157320929 3.0606899306862845
1574705053191018875,-0.04587684246898262 0.29227754332021766 3.070715384810371
1574705053231458976,-0.04057496957899574 0.29228563926050743 3.0800170552131143
1574705053272204341,-0.032771087211358 0.28487548272770075 3.0875733394297065
1574705053312620893,-0.022645797738085324 0.2692253988910491 3.091580581234873
1574705053353078254,-0.004179658254709668 0.2517786159465275 3.091348625502833
1574705053393531768,0.015028854045885769 0.23034242606802938 3.087828400336546
1574705053433954247,0.027113945275726817 0.20804674535454556 3.081404729308139
1574705053474408237,0.03087544754151035 0.18902787288228268 3.0745819735036433
1574705053514842051,0.029933778032970683 0.17304360069224525 3.0681226859076975
1574705053555223883,0.028110866938283838 0.1587469643649352 3.0620167127790254
1574705053595613672,0.024404016485273867 0.1449111049040664 3.056114041051389
1574705053636050084,0.02055283785959487 0.13394269599451575 3.0512033911641767
1574705053676482673,0.01709187840082253 0.12445489706643624 3.047035710109089
1574705053716942818,0.013410976629421157 0.1151899505750549 3.043743615676559
1574705053757403739,0.01020897925383234 0.1074070882630033 3.04087605353509
1574705053797686854,0.009088932271982157 0.09944827975381092 3.038381801937137
1574705053827931443,0.009186861170563915 0.09252579891372958 3.03610411343731
1574705053878470554,0.0102141723701362 0.08930344164413671 3.0343600075732104
1574705053908914959,0.009298560199239532 0.08906167347138108 3.0332479800230807
1574705053949313722,0.00628356770986038 0.09116968500807192 3.0328619534426866
1574705053989870476,0.005606557417744537 0.0945741212670973 3.0334309730597386
1574705054030198116,0.006806406987247686 0.09614378927263012 3.0347982231563786
1574705054070599231,0.007990482080694254 0.0926893460261306 3.036674064458509
1574705054111024769,0.00921106264097273 0.08646972094450257 3.038907742939962
1574705054151466426,0.011472347405400523 0.08018031078784119 3.0408994687461552
1574705054191899628,0.014087672769359398 0.07331305936548632 3.042513354359664
1574705054232274519,0.016343686881059374 0.06582445114847307 3.0438109314837223
1574705054272822830,0.017639455379674127 0.06092743617261141 3.0451587374509286
1574705054313272788,0.013004916367482706 0.055461804550608985 3.045849226221071
1574705054353714477,0.007141528409654192 0.04846451716400688 3.0454773344026695
1574705054394097387,0.009353775632202455 0.04675021625011664 3.0451291339429454
1574705054434546056,0.01926936636878105 0.050681707135354755 3.045060541991464
1574705054474992260,0.026646816232244564 0.05938055419792774 3.0456137968450214
1574705054515439998,0.02449407456034239 0.07070147692696879 3.0473521963236947
1574705054555755673,0.017201196653043604 0.08161709086527216 3.0493431539040476
1574705054596112914,0.0076722040892907035 0.0899384007055606 3.051702103153636
1574705054636568568,0.0032727928548476047 0.09583104881602836 3.0540909370007507
1574705054677692202,0.00564721943327577 0.09586574476599966 3.056467961814121
1574705054718078738,0.010567155101233142 0.09315428459896662 3.058495473065312
1574705054758409554,0.008775934711315617 0.08904713729234698 3.060146525049935
1574705054788753258,-0.0022965423273534915 0.08033449377809092 3.0610835052987277
1574705054829115370,-0.011514426384843634 0.06892698041611263 3.0615312467655085
1574705054879496637,-0.017425455552645172 0.05852603832540758 3.061305595228619
1574705054929995681,-0.020327872951807373 0.04858259917208514 3.060796351641861
1574705054950232633,-0.018962374118765966 0.04226845653305658 3.0607710091896267
1574705055000891836,-0.012908578231642126 0.03283409849597328 3.0610880164251015
1574705055031245587,-0.00869880882437225 0.024123616641244093 3.0616425893733097
1574705055071695688,-0.003576078289612286 0.011023330500844334 3.0624409134276216
1574705055112187220,0.00033412552053539436 0.0025521198039608443 3.063312404394714
1574705055152620774,0.008331558771242668 0.0036038131972847675 3.0633476727747566
