%time,field.data
1574703711737802444,-0.08447027819234106 0.279549748186658 3.0432016141282876
1574703711757945126,-0.08669790207249257 0.28220945216808624 3.04104462517301
1574703711778155512,-0.08787060988981646 0.2843248297217835 3.0392707790841667
1574703711798370326,-0.08782130552498435 0.28583298396550394 3.0378326983236397
1574703711818564082,-0.0868899157000325 0.2867602775604932 3.0367229349379503
1574703711838793874,-0.08574987419233626 0.2873109656735178 3.035995718980587
1574703711858993652,-0.08496622313444173 0.2876332772217025 3.0355151847477266
1574703711909708020,-0.08461083667842549 0.28668771725211867 3.034675057296482
1574703711909708020,-0.08461083667842549 0.28668771725211867 3.034675057296482
1574703711950129089,-0.08483170648621206 0.28450245053277284 3.033869002867175
1574703711950129089,-0.08483170648621206 0.28450245053277284 3.033869002867175
1574703711960238811,-0.0848434614094416 0.2841128814465552 3.033777270142542
1574703711980464128,-0.08528057553628786 0.282858652068712 3.0337332411998585
1574703712000677800,-0.08615567533947495 0.28078596413999096 3.033796216695097
1574703712041041709,-0.0876081298877753 0.2752690453346455 3.03357748894462
1574703712041041709,-0.0876081298877753 0.2752690453346455 3.03357748894462
1574703712091478118,-0.0902730566132719 0.2705047614048589 3.032863686657939
1574703712091478118,-0.0902730566132719 0.2705047614048589 3.032863686657939
1574703712131874181,-0.09234373350030428 0.2684693081403956 3.0315561029251885
1574703712131874181,-0.09234373350030428 0.2684693081403956 3.0315561029251885
1574703712172263150,-0.09275267433432546 0.26774590074358295 3.029589762144021
1574703712172263150,-0.09275267433432546 0.26774590074358295 3.029589762144021
1574703712222822034,-0.0927945132840165 0.2647645179551403 3.0284139057598587
1574703712222822034,-0.0927945132840165 0.2647645179551403 3.0284139057598587
1574703712263174551,-0.09500894055544769 0.2590967172441946 3.0273109724464757
1574703712263174551,-0.09500894055544769 0.2590967172441946 3.0273109724464757
1574703712283372558,-0.0950083104992633 0.25536838067998585 3.0269257566260857
1574703712323773460,-0.09125351089740669 0.24420605142213317 3.0267078931540983
1574703712323773460,-0.09125351089740669 0.24420605142213317 3.0267078931540983
1574703712354106493,-0.08672727055435604 0.22834761124740927 3.0269832795779066
1574703712354106493,-0.08672727055435604 0.22834761124740927 3.0269832795779066
1574703712364180244,-0.08672727055435604 0.22834761124740927 3.0269832795779066
1574703712384405754,-0.08483619488483181 0.2194702444172056 3.027039632302775
1574703712404544627,-0.08288729317662816 0.21058298969139808 3.0270966973402627
1574703712414650067,-0.08086167556992624 0.2020303431612229 3.0272425069501123
1574703712445066988,-0.07832394559261187 0.19409459805914583 3.027393337911505
