%time,field.data
1574701264441890079,0.017915454345659592 0.1900678363239158 -2.5931091847103382
1574701264522731015,0.023828050122452735 0.1957242303859849 -2.597997165043387
1574701264603573207,0.02991678189111764 0.19761512722386354 -2.5994985825131502
1574701264674235591,0.03728646506917145 0.2034491875669622 -2.5988680921489142
1574701264755215438,0.042516389724661936 0.20924914331046293 -2.5967231534743545
1574701264836658012,0.04629169434427898 0.21272147612481013 -2.5937468424012233
1574701264917556386,0.05133706518390229 0.2083718798691518 -2.5912340078294496
1574701264998420884,0.05525114613752216 0.19787708801695414 -2.5897990740959806
1574701265079109095,0.061435649869045414 0.19304802442627622 -2.5893289640506785
1574701265159991100,0.062358220080188174 0.19351878061174624 -2.589104602881804
1574701265240746438,0.05849019801701441 0.1944444931655263 -2.588926603576227
1574701265321592217,0.052487011517820106 0.19761614063184674 -2.5897945627513543
1574701265402515469,0.04714843003290664 0.2033490772736068 -2.5905806677574983
1574701265483348105,0.04378790890692722 0.20409823400340105 -2.591255151163885
1574701265564206597,0.03792909851476873 0.1992597816878285 -2.5921568626910654
1574701265634960398,0.04122380688804141 0.19755554790953556 -2.5935993101004766
1574701265715917237,0.04861424221717866 0.19925603444295795 -2.595466714665081
1574701265806780589,0.0581279166165764 0.20663179396905923 -2.5971893543497884
1574701265877677265,0.062046398021039784 0.20715607739079409 -2.59851320170362
1574701265958587322,0.061549982347155675 0.2035987822504407 -2.599909490079395
1574701266039446868,0.05987345477885174 0.1956506644340816 -2.60160638121576
1574701266120098637,0.056056208402382374 0.18561582290010975 -2.6031668138621398
1574701266200836443,0.05457994312909542 0.17862575876308417 -2.6040984189277094
1574701266281689624,0.05458014385367929 0.17481276253724035 -2.6040308993045254
1574701266352666257,0.05956304343487206 0.18170444010295472 -2.6006217055770615
1574701266443419872,0.06279244939182914 0.18720369080267282 -2.5950003717038514
1574701266524192546,0.06091687308364742 0.18145058160789554 -2.591724040138983
1574701266605156819,0.06608878625436648 0.1716095248265575 -2.5911919513970716
1574701266675923068,0.07031249274441626 0.17053202000225268 -2.5900938470259165
1574701266756700591,0.06759486542339319 0.16814139108984497 -2.5880179106593846
1574701266837373127,0.06456926355446102 0.1706014711787099 -2.5846526253167807
1574701266918115265,0.0642645688309512 0.1756044065192023 -2.5832328409769407
1574701266999032327,0.0640077852172278 0.18144860578494101 -2.583072927162814
1574701267079965995,0.06513272529124733 0.1795916291825509 -2.583545786001159
1574701267160865864,0.060433947605885045 0.1802935644311352 -2.583953353755652
1574701267241690637,0.05772527446281486 0.19520963806583058 -2.5840219375423814
1574701267322895903,0.06580462996611142 0.18877385220272372 -2.583473237500111
1574701267393659295,0.0700522064381251 0.18704864203300106 -2.587249363763941
1574701267484843884,0.07677708672062848 0.19494038757299723 -2.591995929560196
1574701267555624819,0.07612273828116858 0.2056455719505366 -2.5937896889115843
1574701267636424789,0.07440329509635454 0.2202282789035328 -2.595520694899229
1574701267717421758,0.07200020445162333 0.2340462752920574 -2.59771702059447
1574701267798335187,0.07351835087413544 0.24059106874110328 -2.6001265241600806
1574701267879295054,0.07576851611050149 0.23572421850747277 -2.603459481981472
1574701267960161334,0.07937211773808132 0.21186612041008185 -2.608090150444279
1574701268040962618,0.08556603007040027 0.17962177572160887 -2.6091858142926454
1574701268111739005,0.08475972072898341 0.14822647752829554 -2.6066099332306103
1574701268202708726,0.07587753031792939 0.1233276241145716 -2.6018673276263944
1574701268273450216,0.06081982027663433 0.11062375365462356 -2.5941637163557094
1574701268354363442,0.06077449887726453 0.09705751305345954 -2.5919926773429287
1574701268435162565,0.06846316985513877 0.07937536719591391 -2.594259104321031
1574701268516041223,0.06202176407091918 0.0647229320870699 -2.5969266996617635
1574701268597037640,0.060663920099203836 0.05710261585148485 -2.6004228831059555
