%time,field.data
1574700760930548151,-0.017624613570010522 0.433990225741681 3.06689765828155
1574700761011379496,0.00879214514487225 0.4474662098233156 3.0702242829899387
1574700761092347180,0.015385090027550462 0.4557553089818442 3.0696723275072246
1574700761173284103,0.02372883558815853 0.4623867530518964 3.066818333141615
1574700761244082321,0.03132991856126053 0.4647393063197304 3.063097188215707
1574700761324877085,0.041809204962162505 0.47480819507757716 3.0596840448029727
1574700761405735362,0.05948162011221807 0.4803150549180478 3.0560020784527313
1574700761486556491,0.07764816105996329 0.4736228336009374 3.052552890184511
1574700761567476706,0.09767695457056247 0.46538039150441535 3.050106943578797
1574700761648329434,0.11832185921010321 0.45451483383619695 3.0476369074368233
1574700761729198350,0.13873864742245454 0.44339219265972046 3.047282524614716
1574700761809823727,0.15604666859766356 0.41908498450054527 3.044961220126241
1574700761890841303,0.15265302303767886 0.3925786046618734 3.042433665286904
1574700761971705522,0.152506468075375 0.36930140955921065 3.042872302598224
1574700762052514099,0.150573793232098 0.3370673768781828 3.0452031743632815
1574700762133350037,0.1455352203156873 0.3059865273051888 3.049018781392492
1574700762214289893,0.14792424506739027 0.28250892535375083 3.0526366293978997
1574700762295198560,0.14946347402375126 0.24781768146683755 3.0573354217673723
1574700762365945028,0.15247803899997528 0.22004252146505715 3.061196917093561
1574700762456827333,0.15096707386315739 0.19063683722410957 3.065368802543528
1574700762527550150,0.1440455646551651 0.15747143289356208 3.0697799845305123
1574700762618526598,0.12763183703274394 0.13576122213867486 3.0738437463016433
1574700762699404190,0.10888601486123001 0.12280888816707565 3.078598446075919
1574700762780171840,0.09078000977339641 0.1202497273731155 3.0854393017719
1574700762851000264,0.08412666983828267 0.12219762831442085 3.0889716374983442
1574700762931834239,0.07354503920385157 0.11640290731554674 3.0888567785534833
1574700763012687196,0.059090496266089504 0.10477509636274379 3.0856890335901603
1574700763093626219,0.04815621905620602 0.08800192975593166 3.079161130487474
1574700763174459706,0.031631453940800996 0.0737407810028259 3.0739756199115584
1574700763255208174,0.006619687999930926 0.05575564966793639 3.068242615204186
1574700763326007557,-0.014442961239929044 0.04226728255307438 3.0634155296550767
1574700763406684109,-0.03776252613304269 0.020760053110175813 3.058442847771171
1574700763497641116,-0.05437068862534899 0.012396189447924925 3.0542555855398623
1574700763578516045,-0.07252504430584973 0.014430222407122906 3.050099358666627
1574700763649196188,-0.09955147663824887 0.01953398807386232 3.0472060223813853
1574700763740175886,-0.11589227108294828 0.013961462699869304 3.0463727559416336
1574700763810790427,-0.12281871570679379 -0.024735207465981835 3.0509658002781768
1574700763891576520,-0.11672737007292003 -0.0775322217518667 3.057426219487955
1574700763972415655,-0.10867143517995156 -0.1339110940823047 3.0628479438707297
1574700764053304144,-0.0899297153857233 -0.17508324724164645 3.0617916030938868
1574700764134189984,-0.06724409663889899 -0.20549386794514077 3.0554120653408523
1574700764204989124,-0.06085630577472527 -0.22697967197570865 3.049353640622467
1574700764285739726,-0.07080638630841765 -0.2426741718108861 3.043418379308001
1574700764376701251,-0.08870600996461837 -0.25023056576128233 3.040092552278071
1574700764447455170,-0.11367249967058833 -0.24874649372003554 3.038512870713422
1574700764538488538,-0.1346600539923878 -0.24214611595153135 3.0376749272026555
1574700764609296742,-0.14826893580261546 -0.2315770659578055 3.0358964868256426
1574700764690206660,-0.15306257319611957 -0.21823965157843686 3.0327390733156854
1574700764771090488,-0.15362983380346124 -0.2063826910647513 3.0297196897354657
1574700764851881811,-0.15086692384041211 -0.1910492927744475 3.026769995220109
1574700764932726320,-0.15011079565864624 -0.17103061008616005 3.0240181176193905
1574700765013581513,-0.15211473169490117 -0.148348468845561 3.0224658329077534
1574700765094446164,-0.15309132892113547 -0.12783690188368413 3.0240302153265
1574700765175385608,-0.1592972211381386 -0.110662910760424 3.0290636125845274
1574700765256241411,-0.17005332330945302 -0.08741518781616353 3.035748553076578
1574700765337105885,-0.17167013982476267 -0.07093172920470654 3.0456421046014763
1574700765407742760,-0.16550542678767044 -0.054845465429748344 3.0575930501824424
1574700765488642048,-0.1595004189890143 -0.03669239412696332 3.0681300282183694
1574700765569479327,-0.15564394316566174 -0.01947923645061589 3.0770761884248627
1574700765650277384,-0.1448026586034349 0.0046805327271995855 3.085981231241799
1574700765731142774,-0.14507981231601677 0.036137992784381893 3.0920683280248644
1574700765811892634,-0.14793826549393088 0.06755745486138287 3.09305156795595
1574700765892763362,-0.1522622079796664 0.09646023852604114 3.0897445406815636
1574700765973552535,-0.15451818064789827 0.12387947008221137 3.083357539958279
1574700766054554433,-0.14884943828746372 0.14941629781728077 3.077824174121666
1574700766135471819,-0.1470138462235148 0.17077046356441256 3.072764275647622
1574700766216303500,-0.14083504112683704 0.19091372790627367 3.067282096443237
1574700766297194053,-0.13276321420540443 0.20810938030318765 3.0623449917177124
1574700766367805010,-0.12319337726457992 0.22392223055443577 3.0571424725811407
1574700766448658766,-0.11399128282633696 0.2382624607060779 3.0519441980695543
1574700766529569417,-0.1035247472485994 0.24953331979070978 3.04659181598438
1574700766610370841,-0.08986453922875735 0.25881412347983845 3.042106368981032
1574700766691242700,-0.08235101033991563 0.2657540854932835 3.03764376824274
1574700766772092540,-0.07804154790434674 0.27588722141255817 3.0329614220792704
1574700766852910438,-0.07236809052623018 0.27987581475725676 3.0301198025701264
1574700766933711442,-0.059979761278028704 0.2788635425201106 3.0280905126184474
1574700767014539411,-0.04344956515450368 0.2789665322947636 3.0264994887855066
1574700767095258370,-0.026258175592451645 0.2842820937529638 3.0253933035452554
1574700767165934893,-0.008111057111641808 0.28212330568538546 3.026124155799054
1574700767246890915,0.00602325789585429 0.2799184704582674 3.0278973867115826
1574700767327728505,0.015979892963523732 0.27701796288548897 3.0300490597111094
1574700767408613966,0.026540236412367676 0.2719963077124622 3.031991100033541
1574700767489347659,0.048619234462850526 0.26659695153269336 3.0349089220575336
1574700767570167133,0.06994521980553428 0.25869626392589046 3.0408736061787724
1574700767651055607,0.0790573739028593 0.24911986819327595 3.0483402771577195
1574700767731908714,0.09280887417954699 0.23472521036956812 3.0593430262917956
1574700767812753322,0.1064076823785838 0.22160006243658528 3.068269324864503
1574700767893528794,0.11784406624375922 0.21004077453404485 3.075250263448433
1574700767974543199,0.1266242967589054 0.19297725535745278 3.0831213248514375
1574700768055304307,0.12644131772649417 0.17645789514070956 3.088208369755906
1574700768136015288,0.12173704547903827 0.14593314618224904 3.094108603269167
1574700768206794106,0.12365743186153723 0.12117499264956298 3.099936289134829
1574700768287542815,0.1285993070651281 0.09850049118215895 3.1040062763334157
1574700768368289663,0.1297461697023837 0.08090473462836774 3.104270776415671
1574700768449039353,0.12932999613564983 0.05713158149672005 3.1003146690986125
1574700768529817230,0.13089894433982188 0.031522595598705266 3.0932853126865827
1574700768610794604,0.1265069507473022 -0.0022273922499780993 3.0842425376752627
1574700768692074697,0.12380625308611602 -0.031450858226902315 3.07521034407234
1574700768772923400,0.12366090717770489 -0.06744631700265505 3.0649127609404543
1574700768853709803,0.12949236926988517 -0.09893341119351558 3.052699985347186
1574700768924387455,0.14178556602166528 -0.12434204362618122 3.038627024099842
1574700769005193630,0.1542764968680898 -0.1468093896164607 3.02458313762404
1574700769085987283,0.16191235124166717 -0.16411585060907602 3.0130876567363263
1574700769166868977,0.1716248203338266 -0.1811759584860409 3.0034527461025218
1574700769247628502,0.17462122449821557 -0.20307012974043898 2.9957085105341883
1574700769328512914,0.17444302620326346 -0.22948668407616016 2.9914233252370326
1574700769409362550,0.16789772321714405 -0.25094946126529405 2.990705282223477
1574700769490263360,0.15921917363018503 -0.26299468656244823 2.994711917447265
1574700769571141006,0.1461202296578461 -0.27183761211903285 3.0021109467855616
1574700769641874892,0.12542276830063823 -0.27859634242813885 3.0108021702570347
1574700769722980389,0.10406798580757062 -0.2794490195782411 3.0186052124224236
1574700769803735050,0.07963023775044753 -0.2772398483399075 3.024404225972861
1574700769894691838,0.05642215148157277 -0.27266135589572776 3.0304031879243087
1574700769965428002,0.03607069888928244 -0.26941276098821443 3.0350544433679145
1574700770046383860,0.007826581497042137 -0.2625505501937622 3.0398608412441805
1574700770127241906,-0.02237264213325604 -0.24556375249819595 3.043814543126983
1574700770208005991,-0.042628678054505285 -0.22728053037036966 3.0452017708282186
1574700770288811050,-0.056369938646784946 -0.2058461020761703 3.0455133765589153
1574700770369629535,-0.06623888531964488 -0.1811053924526769 3.044027452769478
1574700770450430905,-0.07641150973429874 -0.15962435566957153 3.0415347787282676
1574700770531182787,-0.09098131424872617 -0.1371935400880818 3.038269968163254
1574700770612091812,-0.10639080541983895 -0.11819716892792351 3.036263930030027
1574700770692973494,-0.11957715360097909 -0.09820380894818853 3.0346579609492395
1574700770773657892,-0.12724048656126888 -0.07728631239835651 3.032639578115611
1574700770854421557,-0.13509580157588788 -0.05385807620869573 3.030265562434992
1574700770935305472,-0.14257914705059535 -0.027571020234248934 3.026797527568401
